id	pid	page_start	page_end	snippet	core
beps-a04-interest-deductions-nta-ja-p001	p001	1	1	参考仮訳 （本資料は参考仮訳であるため、正確には原文を参照されたい。） OECD／G20 BEPS プロジェクト 利子控除及び他の金融支払に係る 税源浸食の制限 行動４：2015 年最終報告書	packs/beps-a04-interest-deductions-nta-ja-pack-00.txt
beps-a04-interest-deductions-nta-ja-p002	p002	2	2	参考仮訳 （本資料は参考仮訳であるため、正確には原文を参照されたい。） 目次 要約 ..................................................................................................	packs/beps-a04-interest-deductions-nta-ja-pack-00.txt
beps-a04-interest-deductions-nta-ja-p003	p003	3	3	参考仮訳 （本資料は参考仮訳であるため、正確には原文を参照されたい。） グループ比率ルールの運用 ...........................................................................................	packs/beps-a04-interest-deductions-nta-ja-pack-01.txt
beps-a04-interest-deductions-nta-ja-p004	p004	4	4	参考仮訳 （本資料は参考仮訳であるため、正確には原文を参照されたい。） 事例1：負債／自己資本の固定比率に基づく過少資本税制 ................................................................ 83 事例2：ベストプラ	packs/beps-a04-interest-deductions-nta-ja-pack-01.txt
beps-a04-interest-deductions-nta-ja-p005	p005	5	5	参考仮訳 （本資料は参考仮訳であるため、正確には原文を参照されたい。） 要約 現金が流動性と代替性があることは実証可能な事実問題である。したがって、多国籍グループは、グ ループの企業の負債の額を調整することによって、有利な課税結果を実現することができる。課税ル ールが多国籍グルー	packs/beps-a04-interest-deductions-nta-ja-pack-01.txt
beps-a04-interest-deductions-nta-ja-p006	p006	6	6	参考仮訳 （本資料は参考仮訳であるため、正確には原文を参照されたい。） 勧告する取組みが主に影響を及ぼすのは、純支払利子の水準が高いことと高い純利子／EBITDA 比率 の両方を有する企業で、特に企業の比率が全世界のグループの比率より高い場合である。これは容易 な方法であり、企業	packs/beps-a04-interest-deductions-nta-ja-pack-01.txt
beps-a04-interest-deductions-nta-ja-p007	p007	7	7	参考仮訳 （本資料は参考仮訳であるため、正確には原文を参照されたい。） イドライン」第 1 章の改訂は、OECD 報告書「移転価格税制と価値創造の一致（OECD、2015 年）」 に含まれているが、適切な実質を欠くグループ企業に支払われる利子の額を、提供される資金のリス クフリー	packs/beps-a04-interest-deductions-nta-ja-pack-02.txt
beps-a04-interest-deductions-nta-ja-p008	p008	8	8	参考仮訳 （本資料は参考仮訳であるため、正確には原文を参照されたい。） 序章 利子と経済的に利子に相当する支払を用いたBEPS 1. 第三者又は関連者の利子は、国際的なタックスプランニングで利用できる利益移転技術のう ち、おそらく最も簡単なものの 1 つである。現金は流動性と代替	packs/beps-a04-interest-deductions-nta-ja-pack-02.txt
beps-a04-interest-deductions-nta-ja-p009	p009	9	9	参考仮訳 （本資料は参考仮訳であるため、正確には原文を参照されたい。） を生じさせること。ハイブリッド商品を開発し、損金算入ができる利子の支払が生じるが、これに対 応する課税所得が生じないようにすること。資産に対する投資に融資を用いて、課税されないか、軽 減された税率で課税される	packs/beps-a04-interest-deductions-nta-ja-pack-02.txt
beps-a04-interest-deductions-nta-ja-p010	p010	10	10	参考仮訳 （本資料は参考仮訳であるため、正確には原文を参照されたい。） て、税引前利益 10 ドル、税引後利益 8.50 ドルを得る。以上を総合すると、A 社と B 社は税引前利益 5 ドル、税引後利益5.25 ドルを得る。B 社の実体のない資本化とA 社への利益移転の結果、グル	packs/beps-a04-interest-deductions-nta-ja-pack-02.txt
