id	pid	page_start	page_end	snippet	core
j06-6-1	6-1	0	0	事前確認については、移転価格税制の適用に係る法人の予測可能性を確保し、当該税制の適正かつ円滑な執行を図るため、我が国の課税権の確保に十分配意しつつ、事案の複雑性や困難性に応じたメリハリのある事前確認審査を的確かつ迅速に行う。また、事前確認に	packs/jimu-ch06-pack-00.txt
j06-6-10	6-10	0	0	(1) 事前相談は、事前確認の申出を行おうとする法人が確認申出書及び6-3(1)イからルまでの資料を作成することに資するものであり、かつ、当該法人が行おうとする事前確認の申出の内容を税務当局が適切に理解し、効率的かつ迅速に審査を行うことに資	packs/jimu-ch06-pack-00.txt
j06-6-11	6-11	0	0	局担当課は、法人から事前確認の申出を受けた場合には、次により事前確認審査を行う。 (1) 局担当課は、速やかに当該申出に係る事前確認審査に着手し、事案の複雑性や困難性に応じたメリハリのある事前確認審査を行い、的確かつ迅速な事務処理に努める。	packs/jimu-ch06-pack-00.txt
j06-6-12	6-12	0	0	(1) 局担当課は、確認申出法人が事前確認について相互協議を求める意思を有すると認められる場合には、相互協議の申立てを行うよう勧奨する。この場合において、確認申出法人が内国法人であるときは、平成13年6月25日付官協1-39ほか7課共同「相	packs/jimu-ch06-pack-00.txt
j06-6-13	6-13	0	0	(1) 確認申出法人が事前確認について相互協議を求める場合には、局担当課又は庁担当課は、必要に応じ、庁相互協議室と協議を行う。 (2) 確認申出法人が事前確認について相互協議を求める場合において、局担当課は、事前確認審査を終了したときは、庁	packs/jimu-ch06-pack-00.txt
j06-6-14	6-14	0	0	事前確認審査に当たっては、移転価格税制の適正かつ円滑な執行を図る観点から、次の(1)又は(2)に定めるところにより適切に対応することに留意する。 (1) 次に掲げる場合に該当することにより、確認申出法人が行った事前確認の申出について、事前確	packs/jimu-ch06-pack-00.txt
j06-6-15	6-15	0	0	(1) 相互協議を伴う事前確認の申出について、局担当課は、庁担当課を通じて庁相互協議室から相互協議の合意が成立した旨の通知を受けた場合には、必要に応じ、確認申出法人から事前確認の申出の修正を受けた上で、速やかに、事前確認を行う旨を所轄税務署	packs/jimu-ch06-pack-00.txt
j06-6-16	6-16	0	0	所轄税務署長等は、6-15(5)の取扱いにより事前確認を行う旨の通知を受けた法人（以下「確認法人」という。）が事前確認を受けた各事業年度（以下「確認事業年度」という。）において、事前確認を受けた国外関連取引（以下「確認取引」という。）につい	packs/jimu-ch06-pack-00.txt
j06-6-17	6-17	0	0	所轄税務署長等は、確認法人に対し、確認事業年度の確定申告書の提出期限又は当該所轄税務署長等があらかじめ定める期限までに、次の事項を記載した資料を添付した「独立企業間価格の算定方法等の確認に関する報告書」を別紙様式8により作成し、これを当該所	packs/jimu-ch06-pack-00.txt
j06-6-18	6-18	0	0	(1) 確認法人から、6-17に定める報告書の提出があった場合には、署法人課税部門又は局調査課は6-5及び6-6の取扱いに準じて処理を行う。 (2) 局担当課は、当該報告書に基づき、確認取引について事前確認の内容に適合した申告が行われている	packs/jimu-ch06-pack-00.txt
