id	pid	page_start	page_end	section_id	context	core
beps-a14-peer-review-documents-oecd-en-p001	p001	1	1	beps-a14-peer-review-documents-oecd-en	...Action 14 on More Effective Dispute Resolution Mechanisms PEER REVIEW DOCUMENTS January 2023	packs/beps-a14-peer-review-documents-oecd-en-pack-00.txt
beps-a14-peer-review-documents-oecd-en-p002	p002	2	2	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 OECD/G20 Base Erosion and Profit Shifting Project BEPS Ac...	packs/beps-a14-peer-review-documents-oecd-en-pack-00.txt
beps-a14-peer-review-documents-oecd-en-p003	p003	3	3	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 This document, as well as any data and any map included h...	packs/beps-a14-peer-review-documents-oecd-en-pack-00.txt
beps-a14-peer-review-documents-oecd-en-p004	p004	4	4	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Table of contents Introduction 4 1 Terms of Reference to ...	packs/beps-a14-peer-review-documents-oecd-en-pack-00.txt
beps-a14-peer-review-documents-oecd-en-p005	p005	5	5	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Introduction The Action Plan on Base Erosion and Profit S...	packs/beps-a14-peer-review-documents-oecd-en-pack-00.txt
beps-a14-peer-review-documents-oecd-en-p006	p006	6	6	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 The Action 14 minimum standard also requires Members to p...	packs/beps-a14-peer-review-documents-oecd-en-pack-00.txt
beps-a14-peer-review-documents-oecd-en-p007	p007	7	7	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Introduction 1. The Action Plan on Base Erosion and Profi...	packs/beps-a14-peer-review-documents-oecd-en-pack-01.txt
beps-a14-peer-review-documents-oecd-en-p008	p008	8	8	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Party 1”) and the FTA MAP Forum develop the Terms of Refe...	packs/beps-a14-peer-review-documents-oecd-en-pack-01.txt
beps-a14-peer-review-documents-oecd-en-p009	p009	9	9	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 the best practices will not be peer reviewed or monitored...	packs/beps-a14-peer-review-documents-oecd-en-pack-02.txt
beps-a14-peer-review-documents-oecd-en-p010	p010	10	10	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 B.P.4. Jurisdictions should develop the “global awareness...	packs/beps-a14-peer-review-documents-oecd-en-pack-02.txt
beps-a14-peer-review-documents-oecd-en-p011	p011	11	11	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 15. To facilitate taxpayers’ access to MAP, jurisdictions...	packs/beps-a14-peer-review-documents-oecd-en-pack-03.txt
beps-a14-peer-review-documents-oecd-en-p012	p012	12	12	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 C.2. Jurisdictions should seek to resolve MAP cases 17 wi...	packs/beps-a14-peer-review-documents-oecd-en-pack-03.txt
beps-a14-peer-review-documents-oecd-en-p013	p013	13	13	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Output of the Peer Review and Monitoring process 18. In a...	packs/beps-a14-peer-review-documents-oecd-en-pack-04.txt
beps-a14-peer-review-documents-oecd-en-p014	p014	14	14	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 References OECD (2019), Model Tax Convention on Income an...	packs/beps-a14-peer-review-documents-oecd-en-pack-04.txt
beps-a14-peer-review-documents-oecd-en-p015	p015	15	15	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 1 Available at https://doi.org/10.1787/9789264202719-en. ...	packs/beps-a14-peer-review-documents-oecd-en-pack-04.txt
beps-a14-peer-review-documents-oecd-en-p016	p016	16	16	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 mandatory or not. Elements B.5 and B.10 of the Terms of R...	packs/beps-a14-peer-review-documents-oecd-en-pack-05.txt
beps-a14-peer-review-documents-oecd-en-p017	p017	17	17	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 1.A. Mandate for the development of the Terms of Re...	packs/beps-a14-peer-review-documents-oecd-en-pack-05.txt
beps-a14-peer-review-documents-oecd-en-p018	p018	18	18	beps-a14-peer-review-documents-oecd-en	...TION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 committed jurisdictions by the FTA MAP Forum, which will ...	packs/beps-a14-peer-review-documents-oecd-en-pack-05.txt
