id	pid	page_start	page_end	section_id	context	core
beps-a08-10-tp-value-creation-nta-ja-p002	p002	2	2	beps-a08-10-tp-value-creation-nta-ja	............................................................ 122 費用分担取決め（CCA） 移転価格ガイドライン第8 章の改訂 .....................................................	packs/beps-a08-10-tp-value-creation-nta-ja-pack-00.txt
beps-a08-10-tp-value-creation-nta-ja-p084	p084	84	84	beps-a08-10-tp-value-creation-nta-ja	...に不確かである無形資産 ・ パラグラフ 6.189 の HTVI の定義に当てはまる、関連会社へ一時金支払いにより譲渡 された無形資産 ・ CCA 又は類似の取決めに関連して使用されたか、当該取決め下で開発された無形資 産 6.191 このような無形資産については、納税者 が取引価格の...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-16.txt
beps-a08-10-tp-value-creation-nta-ja-p129	p129	129	129	beps-a08-10-tp-value-creation-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 費用分担取決め（CCA） 移転価格ガイドライン第 8 章の改訂 A. 序 8.1 本章では、二以上の関連者間の費用分担 取決め（CCA）について論じる。本章の目的...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-25.txt
beps-a08-10-tp-value-creation-nta-ja-p130	p130	130	130	beps-a08-10-tp-value-creation-nta-ja	...参照されたい。 にも適用される。結果として、類似の経済的特徴を有する取決めの下で活動を果たす当事者 は、特定の事例において契約上の取決めが CCA という用語が使われるかどうかに関わら ず、類似の予測利益を受け取るべきである。しかしながら、 CCA には特別な考慮を必要と する固有の特...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-25.txt
beps-a08-10-tp-value-creation-nta-ja-p131	p131	131	131	beps-a08-10-tp-value-creation-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 B.2. 他章との関係 8.9 パラグラフ 8.4 で示したとおり、CCA における移転価格分析は、他の類型の契約関係の 分析と比較して、分析の枠組みに相違はない。第1 章 D 節の指針は、関連者間のあらゆる取 引...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-25.txt
beps-a08-10-tp-value-creation-nta-ja-p132	p132	132	132	beps-a08-10-tp-value-creation-nta-ja	...訳は参考のための仮訳であって、正確には原文を参照されたい。 を有するものの、一の参加者のみがその資産の法的所有者となることもある。参加者が CCA によって開発された資産についてこうした権利を有する場合には、当該参加者が CCA において取得した持分と整合的である限り、開発された資産の...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-25.txt
beps-a08-10-tp-value-creation-nta-ja-p133	p133	133	133	beps-a08-10-tp-value-creation-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 例えば研究機能といった、対象となる活動を一の企業だけで行うが、 CCA の成果物に係る 持分は受け取らない場合、当該企業は CCA の参加者ではなく、CCA へのサービス・プロバ イダーとみなされるであろう。こ...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-26.txt
beps-a08-10-tp-value-creation-nta-ja-p134	p134	134	134	beps-a08-10-tp-value-creation-nta-ja	...参照されたい。 では参加者とならない別の企業に対象活動に関する一定の機能を外部委託することを決定す るかもしれない。このような状況において CCA 参加者は、CCA において個々に引き受けた 特定のリスクに対するコントロールを行う必要性を満たすべきである。この要請には、少な くとも一の...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-26.txt
beps-a08-10-tp-value-creation-nta-ja-p135	p135	135	135	beps-a08-10-tp-value-creation-nta-ja	...法の選定を考慮することが重要である。一 つのアプローチ（ただし、これに限られるわけではない）は、複数の配分キーを用いること である。例えば、CCA の参加者が 5 社あり、そのうちの 1 社は CCA において実施されるあ るサービス活動から便益を得られない場合、貢献が何らかの形で相殺...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-26.txt
beps-a08-10-tp-value-creation-nta-ja-p136	p136	136	136	beps-a08-10-tp-value-creation-nta-ja	...較可能な状況におい て当該貢献に与えたであろう価値と整合的であるべきである。つまり、貢献は一般的に、独 立企業間原則と整合性を取るために、 CCA 参加者の予測便益に関連する性質及び範囲だけ でなく、リスクの相互的な共有も考慮しながら、貢献した時点における価値に基づいて評価 されなけれ...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-26.txt
