id	pid	page_start	page_end	section_id	context	core
beps-a03-cfc-rules-nta-ja-p002	p002	2	2	beps-a03-cfc-rules-nta-ja	...延べの機会をもたらす。 最初の CFC ルールが 1962 年に導入されて以来、このルールを採用する国は増加している。 現在では、OECD／G20「税源浸食と利益移転（BEPS）」プロジェクトに参加する国のうち 30 か国が CFC ルールを有しており、他の多くの国も採用することに関心...	packs/beps-a03-cfc-rules-nta-ja-pack-00.txt
beps-a04-interest-deductions-nta-ja-p001	p001	1	1	beps-a04-interest-deductions-nta-ja	参考仮訳 （本資料は参考仮訳であるため、正確には原文を参照されたい。） OECD／G20 BEPS プロジェクト 利子控除及び他の金融支払に係る 税源浸食の制限 行動４：2015 年最終報告書	packs/beps-a04-interest-deductions-nta-ja-pack-00.txt
beps-a04-interest-deductions-nta-ja-p011	p011	11	11	beps-a04-interest-deductions-nta-ja	... BEPS の機会を取り除くことによってグループ間の公正性と平等性が向上するはずである。 BEPS 行動計画と支払利子 8. 2012 年、G20 は経済協力開発機構（OECD）に対して、BEPS の問題を分析し、協調した包 括的な方法でこの問題に対処する行動計画を策定することを求めた...	packs/beps-a04-interest-deductions-nta-ja-pack-02.txt
beps-a14-dispute-resolution-nta-ja-p002	p002	2	2	beps-a14-dispute-resolution-nta-ja	...択により、各国は、特に、租税条約に関する紛争解決に係るミニマムスタンダードの 策定、その迅速な実施へのコミットメント、及び租税委員会を通じ G20 へ定期的に報告される こととなる参加国同士での強固なモニタリングメカニズムの確立を通じたミニマムスタンダード の効果的な実施の確保に関する...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p004	p004	4	4	beps-a14-dispute-resolution-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 - 3 - 序 1. OECD は G20 の要請を受けて、2013 年 7 月に「税源浸食と利益移転に関する行動計画 （BEPS 行動計画）」を公表した。BEPS 行動計画には、B...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p005	p005	5	5	beps-a14-dispute-resolution-nta-ja	...なり、主観的又は定性的な性格を有しておりモニタリングや評価が容易にはできないか らであり、あるいは、現段階では全ての OECD 加盟国及び G20 諸国が、ベストプラクティスに コミットする意思があるわけではないためである。したがって、これらベストプラクティスは、 ミニマムスタンダード...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p008	p008	8	8	beps-a14-dispute-resolution-nta-ja	...合意された報告枠組みに従って、相互 協議の統計を適時かつもれなく報告すべきである。  FTA の参加国には、全ての OECD 加盟国及び G20 諸国に加えて、コロンビア、香港、マレーシ ア及びシンガポールが含まれる。  下記を参照されたい。http://www.oecd.org/...	packs/beps-a14-dispute-resolution-nta-ja-pack-01.txt
beps-a14-dispute-resolution-nta-ja-p028	p028	28	28	beps-a14-dispute-resolution-nta-ja	...すべきとの合意が反映 されている。当該モニタリングメカニズムは、以下の一般的な特徴を有するものとする。 1. 全ての OECD 加盟国及び G20 諸国並びに本報告のセクション I.A に定めるミニマムスタ ンダードにコミットした国は、自国のミニマムスタンダードの実施状況について審査を...	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
beps-a14-dispute-resolution-nta-ja-p029	p029	29	29	beps-a14-dispute-resolution-nta-ja	...保する最善の方法と考えている。MAP 事案の解決を確保するメカ ニズムとして仲裁制度を採用することについては、全ての OECD 加盟国及び G20 諸国における コンセンサスは得られていないが、以下の国のグループが、さもなければ相互協議を通じた事案 解決が妨げられるような紛争の解決手段...	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
beps-a14-dispute-resolution-nta-ja-p030	p030	30	30	beps-a14-dispute-resolution-nta-ja	...保するために、ミニマムスタンダードの実施状況を参加国によるモ ニタリングメカニズムを通じて評価すべきとの合意、及び全ての OECD 加盟国、G20 諸国及び ミニマムスタンダードの実施にコミットした国が、当該モニタリングメカニズムに従って審査を 受けるとの合意も含むことに留意し、 参加...	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
