id	pid	page_start	page_end	section_id	context	core
beps-a14-peer-review-documents-oecd-en-p060	p060	60	60	beps-a14-peer-review-documents-oecd-en	 59 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Row 3 Treaty Partners (Others) Total Not...	packs/beps-a14-peer-review-documents-oecd-en-pack-20.txt
beps-a14-peer-review-documents-oecd-en-p061	p061	61	61	beps-a14-peer-review-documents-oecd-en	60  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Notes on Part (I) of Annex 3.B. (see als...	packs/beps-a14-peer-review-documents-oecd-en-pack-21.txt
beps-a14-peer-review-documents-oecd-en-p062	p062	62	62	beps-a14-peer-review-documents-oecd-en	 61 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 (ix) Column 14 of Table 1 and Table 2: N...	packs/beps-a14-peer-review-documents-oecd-en-pack-21.txt
beps-a14-peer-review-documents-oecd-en-p063	p063	63	63	beps-a14-peer-review-documents-oecd-en	62  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 (II) MAP Statistics for purposes of aver...	packs/beps-a14-peer-review-documents-oecd-en-pack-21.txt
beps-a14-peer-review-documents-oecd-en-p064	p064	64	64	beps-a14-peer-review-documents-oecd-en	 63 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Table 2: Other MAP Cases Treaty Partner ...	packs/beps-a14-peer-review-documents-oecd-en-pack-22.txt
beps-a14-peer-review-documents-oecd-en-p065	p065	65	65	beps-a14-peer-review-documents-oecd-en	64  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Table 3: All MAP Cases average time take...	packs/beps-a14-peer-review-documents-oecd-en-pack-22.txt
beps-a14-peer-review-documents-oecd-en-p066	p066	66	66	beps-a14-peer-review-documents-oecd-en	 65 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Notes on Part (II) of Annex 3.B. (see al...	packs/beps-a14-peer-review-documents-oecd-en-pack-22.txt
beps-a14-peer-review-documents-oecd-en-p067	p067	67	67	beps-a14-peer-review-documents-oecd-en	66  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 (xx) Row 1 of Annex to Table 2: Cases cl...	packs/beps-a14-peer-review-documents-oecd-en-pack-22.txt
beps-a14-peer-review-documents-oecd-en-p068	p068	68	68	beps-a14-peer-review-documents-oecd-en	 67 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Annex 3.C. Definition of terms and rules...	packs/beps-a14-peer-review-documents-oecd-en-pack-23.txt
beps-a14-peer-review-documents-oecd-en-p069	p069	69	69	beps-a14-peer-review-documents-oecd-en	68  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 paragraphs 13 and 14 of this note) falls...	packs/beps-a14-peer-review-documents-oecd-en-pack-23.txt
