id	pid	page_start	page_end	section_id	context	core
beps-a14-dispute-resolution-nta-ja-p012	p012	12	12	beps-a14-dispute-resolution-nta-ja	...価格のセーフハーバー について扱っていないため、当該セーフハーバーに関するいかなる推論も導かれるべきではな い。 2.7 二国間の事前確認（APA）制度を有する各国は、適切な場合には、APA の対象年度より前 の課税年度においても関連事実及び状況が同様であり、かつ、当該事実及び状況を調...	packs/beps-a14-dispute-resolution-nta-ja-pack-02.txt
beps-a14-dispute-resolution-nta-ja-p013	p013	13	13	beps-a14-dispute-resolution-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 - 12 - 33. ある国が二国間の事前確認（APA）制度（ベストプラクティス 4 を参照されたい）を実 施している場合、APA で解決した論点が、当初の APA の範囲に含まれない過去の申告...	packs/beps-a14-dispute-resolution-nta-ja-pack-02.txt
beps-a14-dispute-resolution-nta-ja-p022	p022	22	22	beps-a14-dispute-resolution-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 - 21 - 48. 事前確認（APA）とは「関連者間取引を行う前に、一定の期間におけるそれらの取引に おける移転価格を決定するために、適当な一連の基準（例えば、移転価格の算定方...	packs/beps-a14-dispute-resolution-nta-ja-pack-04.txt
beps-a14-peer-review-documents-oecd-en-p009	p009	9	9	beps-a14-peer-review-documents-oecd-en	...es. 6 A.2. Jurisdictions with bilateral advance pricing arrangement (“APA”)7 programmes should provide for the roll-back8 of APAs in appropriat...	packs/beps-a14-peer-review-documents-oecd-en-pack-02.txt
beps-a14-peer-review-documents-oecd-en-p015	p015	15	15	beps-a14-peer-review-documents-oecd-en	...n 14 Report. 6 See paragraph 3 of Article 25 and its Commentary. 7 An APA is “an arrangement that determines, in advance of controlled transact...	packs/beps-a14-peer-review-documents-oecd-en-pack-04.txt
beps-a14-peer-review-documents-oecd-en-p072	p072	72	72	beps-a14-peer-review-documents-oecd-en	...r shall not include (i) a request for an Advance Pricing Arrangement (APA) including a request to apply the outcome of the APA to previous file...	packs/beps-a14-peer-review-documents-oecd-en-pack-24.txt
beps-a14-best-practices-japan-2021-oecd-en-p004	p004	4	4	beps-a14-best-practices-japan-2021-oecd-en	........................................... 9 [BP.1] Implement bilateral APA programmes .............................................................	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-00.txt
beps-a14-best-practices-japan-2021-oecd-en-p006	p006	6	6	beps-a14-best-practices-japan-2021-oecd-en	...FECTIVE MAP PEER REVIEW REPORT © OECD 2021 Abbreviations and Acronyms APA Advance Pricing Arrangement BEPS Baser Erosion and Profit Shifting FT...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-00.txt
beps-a14-best-practices-japan-2021-oecd-en-p010	p010	10	10	beps-a14-best-practices-japan-2021-oecd-en	...ORT © OECD 2021 Part A Preventing Disputes [BP.1] Implement bilateral APA programmes Jurisdictions should implement bilateral APA programmes. 1...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-00.txt
beps-a14-best-practices-japan-2021-oecd-en-p011	p011	11	11	beps-a14-best-practices-japan-2021-oecd-en	... Japan noted that next to the request for a bilateral or multilateral APA, taxpayers are also required to submit a MAP request on the basis of ...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-01.txt
beps-a14-best-practices-japan-2021-oecd-en-p012	p012	12	12	beps-a14-best-practices-japan-2021-oecd-en	...ing to this particular best practice. 1.1. [BP.3] Provide guidance on APAs Jurisdictions’ published MAP guidance should provide guidance on APA...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-01.txt
beps-a14-best-practices-japan-2021-oecd-en-p013	p013	13	13	beps-a14-best-practices-japan-2021-oecd-en	..., the list of information that taxpayers have to submit alongside the APA request, the period covered by an APA, how the process for obtaining ...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-02.txt
beps-a14-best-practices-japan-2021-oecd-en-p014	p014	14	14	beps-a14-best-practices-japan-2021-oecd-en	...it additional information and (ii) the procedure applicable where the APA process is deferred or closed in exceptional cases. Accordingly, corr...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-02.txt
beps-a14-best-practices-japan-2021-oecd-en-p015	p015	15	15	beps-a14-best-practices-japan-2021-oecd-en	... for a useful tool for the efficient and consistent resolution of MAP/APA cases with Japan’s competent authority. In that regard it appreciates...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-02.txt
beps-a14-best-practices-japan-2021-oecd-en-p020	p020	20	20	beps-a14-best-practices-japan-2021-oecd-en	...ssessment can be prolonged to subsequent fiscal years via a bilateral APA. To this end, taxpayers need to submit a MAP request for the initial ...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-04.txt
