id	pid	page_start	page_end	section_id	context	core
beps-a04-interest-deductions-nta-ja-p078	p078	78	78	beps-a04-interest-deductions-nta-ja	表 B.2 多国籍企業と非多国籍企業の集計表（EBITDA がマイナスの企業 を除く）（2009～2013 年までの平均値） 利子の損金算入の制限の影響を受けた企業の割合 純利子の損金算入限 度額の...	packs/beps-a04-interest-deductions-nta-ja-pack-13.txt
beps-a04-interest-deductions-nta-ja-p079	p079	79	79	beps-a04-interest-deductions-nta-ja	...している。以上を総合すると、上記の 2 つの 表の特定の比率の数字を合計すると 100%になるはずである。 表 B.3 では、純支払利子は EBITDA に従ってグループ中に分布していると仮定している。実際には、グループが上記の仮定を実現できない障壁がある可能性があ る。	packs/beps-a04-interest-deductions-nta-ja-pack-13.txt
beps-a04-interest-deductions-nta-ja-p080	p080	80	80	beps-a04-interest-deductions-nta-ja	表 B.4 大規模資本と小規模資本の多国籍企業の集計表（EBITDA がマイナスの企業を除く）（2009～2013 年まで） 利子の損金算入の制限の影響を受ける多国籍企業の割合 純利子の損金算入限 度額の対 ...	packs/beps-a04-interest-deductions-nta-ja-pack-13.txt
beps-a04-interest-deductions-nta-ja-p084	p084	84	84	beps-a04-interest-deductions-nta-ja	...対処すること を目指したものであり、4 つ目は、さらに広範な租税政策の目標を実現するために盛り込まれている。 1) 企業の純利子の損金算入をEBITDA の20%に制限する。固定比率ルールは、多国籍グループ 又は国内のグループに属する全ての企業に適用する。X 国は、本件の特定の場合には、固定...	packs/beps-a04-interest-deductions-nta-ja-pack-13.txt
beps-a04-interest-deductions-nta-ja-p085	p085	85	85	beps-a04-interest-deductions-nta-ja	...ストプラクティス・アプローチと他の利子制限ルールとの組合せ事例 多国籍グループの企業 国内のグループの企業 独立した企業 固定比率ルール （EBITDA の 20%）   - グループ比率ルール   - 特定のリスクに対処する特 別ルール    純利子の損金算入の上限 （EBI...	packs/beps-a04-interest-deductions-nta-ja-pack-13.txt
beps-a04-interest-deductions-nta-ja-p086	p086	86	86	beps-a04-interest-deductions-nta-ja	...でグループには属していない。D 社は会社の普通株を 100%保有する個 人に支配されている。D 社には純支払利子が 3,000 万ドルあり、EBITDA は 1 億ドルである。D 社の 純支払利子には、BEPS を生じさせる取決め（D 社が新たな資金調達を何ら行わない「人為的融資」 など）に...	packs/beps-a04-interest-deductions-nta-ja-pack-14.txt
beps-a04-interest-deductions-nta-ja-p088	p088	88	88	beps-a04-interest-deductions-nta-ja	事例 4：固定比率ルール（純利子／EBITDA 比率の基準値は 15%） 表 D.3 固定比率ルールの運用 単一企業の課税 グループの課税 A1 社 （ドル） A2 社 （ドル） 合計 ...	packs/beps-a04-interest-deductions-nta-ja-pack-14.txt
beps-a04-interest-deductions-nta-ja-p090	p090	90	90	beps-a04-interest-deductions-nta-ja	...異なる固定比率を適用しようとはしていない。 247. さらに、A 国は独自の分析を行い、国内で事業を行うグループは、一般的に純第三者利子／ EBITDA 比率が低いと結論付けている。A 国は、利子を利用した BEPS に対処する厳しい取組みを適 用することも希望している。 248. A 国は...	packs/beps-a04-interest-deductions-nta-ja-pack-14.txt
beps-a04-interest-deductions-nta-ja-p091	p091	91	91	beps-a04-interest-deductions-nta-ja	...設定す べきではなく、むしろ、以下の図表で示す実例の幅の範囲内に設定すべきであると結論付けている。 さらに、大規模なグループの純第三者利子／EBITDA 比率が他のグループよりも下がる傾向にあるこ とを認識して、B 国は大規模なグループの企業に適用する比率を下げることを決定している。 253...	packs/beps-a04-interest-deductions-nta-ja-pack-14.txt
beps-a04-interest-deductions-nta-ja-p093	p093	93	93	beps-a04-interest-deductions-nta-ja	事例 6：純第三者利子／EBITDA 比率に基づくグループ比率ルールの運用 256. 以下の事例 6a～6c では、純第三者利子／EBITDA 比率に基づくグループ比率ルールに...	packs/beps-a04-interest-deductions-nta-ja-pack-14.txt
beps-a04-interest-deductions-nta-ja-p094	p094	94	94	beps-a04-interest-deductions-nta-ja	...ールとともに固定比率ルールを適用する 260. 本事例において、A 国は基準固定比率を 20%として固定比率ルールを適用し、純第三者利子 ／EBITDA 比率に基づくグループ比率ルールも適用している。グループ比率ルールに基づき、A 国は グループの純第三者支払利子に対し、いかなる増額も適用し...	packs/beps-a04-interest-deductions-nta-ja-pack-14.txt
beps-a04-interest-deductions-nta-ja-p100	p100	100	100	beps-a04-interest-deductions-nta-ja	事例 8：企業の税務上のEBITDA 又は会計上のEBITDA に対するグループ比率ルールの適用 280. 第 7 章で定めるとおり、グループ比率ルールを適用する際には、租税原...	packs/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p101	p101	101	101	beps-a04-interest-deductions-nta-ja	...の税務上 の純支払利子の 90%を損金算入することができると考えられる）。 286. 上記の取組みをA 社に適用し、グループの純第三者利子／EBITDA 比率の10%をA 社の1 億 ドルの会計上の EBITDA に適用すると、会計ベースの純支払利子に対する制限は 1,000 万ドルとなる。...	packs/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p102	p102	102	102	beps-a04-interest-deductions-nta-ja	...失の影響 表 D.7 グループ比率ルールの運用に及ぼす損失の影響 A 社 （ドル） B 社 （ドル） C 社 （ドル） グループ （ドル） EBITDA 1 億 1,000 万 （1 億） 1,000 万 純利子 （2,000 万） （200 万） 1,000 万 （1,200 万） グルー...	packs/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p103	p103	103	103	beps-a04-interest-deductions-nta-ja	...る上限の適用 表 D.8 利子の損金算入限度額に対する上限の適用 A 社 （ドル） B 社 （ドル） C 社 （ドル） グループ （ドル） EBITDA 1 億 1,000 万 （1 億） 1,000 万 純利子 （2,000 万） （200 万） 1,000 万 （1,200 万） グルー...	packs/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p104	p104	104	104	beps-a04-interest-deductions-nta-ja	事例 9c：連結EBITDA がマイナスのグループ 表 D.9 連結 EBITDA がマイナスのグループ A 社 （ドル） B 社 （ドル） C 社 （ドル） グループ...	packs/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p105	p105	105	105	beps-a04-interest-deductions-nta-ja	事例 9d：赤字の企業を黒字のグループのEBITDA の算定から除外 表 D.10 赤字の企業を黒字のグループの EBITDA の算定から除外 A 社 （ドル） B 社 （ドル） C 社 （ド...	packs/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a04-interest-deductions-nta-ja-p106	p106	106	106	beps-a04-interest-deductions-nta-ja	事例9e：赤字の企業を赤字のグループのEBITDA の算定から除外 表 D.11 赤字の企業を赤字のグループの EBITDA の算定から除外 A 社 （ドル） B 社 （ドル） C 社 （ド...	packs/beps-a04-interest-deductions-nta-ja-pack-16.txt
beps-a04-interest-deductions-nta-ja-p107	p107	107	107	beps-a04-interest-deductions-nta-ja	事例 10：3 年間の平均値に基づくEBITDA を用いた固定比率ルール 301. 本事例では、企業のEBITDA の3 年間の移動平均を用いて、固定比率ルールに基づく利益の 一時的下落の...	packs/beps-a04-interest-deductions-nta-ja-pack-16.txt
