id	pid	page_start	page_end	section_id	context	core
p016-1.40	1.40	16	17	ch01	...条件でより安く購入することができるか否かを考えるであろう。したがって、 第 2 章第Ⅱ部で論じるように、独立価格比準法（CUP 法）では、関連者間取引に代 わる市場での選択肢を直接に用いたならば、当事者間で合意されたであろう価格を 直接的に見積も...	packs/ch01-pack-01.txt
p043-1.128	1.128	43	44	ch01	...に応じて変化する。本 ガイドライン第 2 章で示す手法のうち、資産又は役務の比較可能性に係る要件が最 も厳格であるのは、CUP 法である。CUP 法では、資産又は役務の特徴における重要 な差異は、いかなるものもその価格に影響を及ぼす可能性があり、...	packs/ch01-pack-05.txt
p062-2.1	2.1	62	62	ch02	...うる 「伝統的取引基準法」と「取引単位利益法」をそれぞれ取り上げている。伝統的取 引基準法とは、独立価格比準法すなわち CUP 法、再販売価格基準法及び原価基準法 である。取引単位利益法とは、取引単位営業利益法及び取引単位利益分割法である。	packs/ch02-pack-00.txt
p062-2.3	2.3	62	62	ch02	...的取引基準法の方が取引単位利益法よりも望ま しい。さらに、パラグラフ 2.2で述べた基準を考慮した上で、独立価格比準法（CUP 法）と他の移転価格算定手法が同等の信頼性を持って適用可能な場合には、CUP 法 の方が望ましい。CUP法に関する議論に...	packs/ch02-pack-00.txt
p065-2.13	2.13	65	65	ch02	...章では、独立企業原則を適用するために用いられる伝統的取引基準法につ き詳細に記述する。これらの手法とは、独立価格比準法（CUP 法）、再販売価格基 準法及び原価基準法である。 B 独立価格比準法（CUP法） B.1 総論	packs/ch02-pack-00.txt
p065-2.14	2.14	65	65	ch02	2.14 CUP 法は、関連者間で取引された資産又は役務の価格を、比較可能な状況 の下で比較可能な独立企業間で取引された資産又は役務の価...	packs/ch02-pack-00.txt
p065-2.15	2.15	65	65	ch02	... 章で述べた原則に従えば、次の二条件のいずれかに該当する場合、非 関連者間取引（比較対象取引）と関連者間取引との比較に CUP 法を用いることがで きる。二つの条件とは、a） 比較される取引間又はそれらの取引を行う企業間のいか なる差異（仮にあっ...	packs/ch02-pack-00.txt
p065-2.16	2.16	65	65	ch02	...ある。この場合、何らかの調整を行うことが適切であろう。 パラグラフ 2.17 のとおり、そのような調整の程度と信頼性が、CUP 法の下での分析 の相対的な信頼性に影響を与える。	packs/ch02-pack-00.txt
p065-2.17	2.17	65	66	ch02	...響を排除するために相当程度正確 な調整を行うことは困難であろう。相当程度正確な調整を行うという課題があるか らといって、CUP 法の適用可能性を形にはめたように除外すべきではない。実際的 な考えを採ることで、CUP 法の適用を可能とし、かつ、必要...	packs/ch02-pack-00.txt
p066-2.18	2.18	66	66	ch02	...者間でのコモディティ（商品）の譲渡に係る独立企業 間価格を設定するための適切な移転価格算定手法は、通常、独立価格比準法（CUP 法）であろう。「コモディティ」には、各業界の非関連者間取引における価格設定 に当たって、独立第三者に参考値として用いら...	packs/ch02-pack-00.txt
p066-2.19	2.19	66	66	ch02	2.19 CUP 法において、コモディティ取引のための独立企業間価格は、比較可能な 非関連者間取引を参照し、かつ、相場価格で比較可能な非...	packs/ch02-pack-00.txt
p066-2.20	2.20	66	67	ch02	2.20 CUP 法がコモディティ取引に確実に適用されるようにするためには、関連者 間取引及び非関連者間取引又は相場価格で表される非関連...	packs/ch02-pack-00.txt
p068-2.23	2.23	68	68	ch02	2.23 以下の事例は、独立価格批准法（CUP 法）の適用につき、差異調整が必要 な状況を含めて説明するものである。	packs/ch02-pack-00.txt
p068-2.24	2.24	68	68	ch02	2.24 関連者間で売買されるものと同種の製品を独立企業が販売している場合、 CUP 法は特に信頼できる手法である。例えば、独立企業が、関連者間で売買される ものと類似した種類、品質、数量のノーブランドの...	packs/ch02-pack-00.txt
p069-2.29	2.29	69	69	ch02	...整を行うことができる場合、である。再販売価格基準法によ って比較を行う場合、製品の差異を補正するための調整の数は、通常、CUP 法によ る場合よりも少なくてよい。その理由は、製品の僅かな差異は、それが価格に与え る影響ほど重大に利益率に影響を与え...	packs/ch02-pack-01.txt
