id	pid	page_start	page_end	section_id	context	core
beps-a03-cfc-rules-nta-ja-p039	p039	39	39	beps-a03-cfc-rules-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。  一つのオプションは、事実・状況分析を行う閾値テストであり、CFC の従業員が CFC の取得した所得に実質的な貢献をしたか否かを判定する 11。このオプションは、実質的 な貢献があったか否かを判定するため...	packs/beps-a03-cfc-rules-nta-ja-pack-06.txt
beps-a03-cfc-rules-nta-ja-p040	p040	40	40	beps-a03-cfc-rules-nta-ja	...には原文を参照されたい。 4.2.3 超過利益分析 87. 所得を定義するもう一つのアプローチは、「超過利益」分析である。これは既存のどの CFC ルールにも存在しないものである。超過利益分析では、軽課税国で取得した所得のうち、 「通常利益」を超える所得を CFC 所得とみなす。例えば...	packs/beps-a03-cfc-rules-nta-ja-pack-06.txt
beps-a03-cfc-rules-nta-ja-p041	p041	41	41	beps-a03-cfc-rules-nta-ja	...原文を参照されたい。 ルの下で課税対象となっていた所得を生み出した資産に投下された資本を、適格資本か ら除外することができる17。 91. CFC が取得した所得のうち親法人所在地国の他の CFC ルールの下で課税対象となって いないすべての所得から、通常利益が差し引かれる。その超過部...	packs/beps-a03-cfc-rules-nta-ja-pack-06.txt
beps-a03-cfc-rules-nta-ja-p042	p042	42	42	beps-a03-cfc-rules-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 場合でも、所得の一部分は合算することができ、また、大半の所得が CFC 所得の定義の範囲内 にある場合でも、所得の一部分を適用除外することができる。 96. 事業体アプローチでは、一定の状況では、事務的負担を軽...	packs/beps-a03-cfc-rules-nta-ja-pack-06.txt
beps-a03-cfc-rules-nta-ja-p043	p043	43	43	beps-a03-cfc-rules-nta-ja	...うに設計することができる。 4． 各国は、賃貸料やリース料など、その他の所得の類型を設けることもできる。 5． 例えば、保険所得を合算する CFC ルールでは、以下の特徴のすべて又は大半を満たす再保 険活動によって取得した所得を、除外することができる。  再保険契約が独立企業間の条件...	packs/beps-a03-cfc-rules-nta-ja-pack-07.txt
beps-a03-cfc-rules-nta-ja-p044	p044	44	44	beps-a03-cfc-rules-nta-ja	...れる対応（特に第一と第二の対応）は、欧州連合の加盟国にはあまり適切 ではないかもしれない。 11． この第一のオプションの一つの例は、米国のCFC ルールである。CFC が取得した販売所得 に適用される実質的貢献基準の下では、通常は合算すべきとみなされる 動産販売からの所 得は、「事実...	packs/beps-a03-cfc-rules-nta-ja-pack-07.txt
beps-a03-cfc-rules-nta-ja-p045	p045	45	45	beps-a03-cfc-rules-nta-ja	...ト、経営システム、ネットワーク、データ、営業権その他 これに類似するものも含まれるべきである。このアプローチを源泉地国ルールと組み合わ せ、CFC 所在地国の市場から取得した所得（例えば、 CFC 所在地国の顧客から取得した か、又は CFC 所在地国におけるサービスの提供で取得した所...	packs/beps-a03-cfc-rules-nta-ja-pack-07.txt
beps-a03-cfc-rules-nta-ja-p047	p047	47	47	beps-a03-cfc-rules-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 第 5 章：所得の算定ルール 98. 本章では、所得の算定に関する第四の CFC ルール構成要素に対する勧告を行う。CFC ルールで、所得を合算すべきであると判定したら、次に、どれだけの所得を合算するかを検討し なければ...	packs/beps-a03-cfc-rules-nta-ja-pack-07.txt
beps-a03-cfc-rules-nta-ja-p048	p048	48	48	beps-a03-cfc-rules-nta-ja	...質を持つ利益との間の相殺に制限すべきか否 かについての問題も含まれている。例えば、こうした制限が損失に関する国内法で適用されてい る場合は、CFC の受動的損失は受動的 利益に対してのみ用いることができるということにな る。 103. もう一つの論点は、CFC 損失は CFC 利益に限...	packs/beps-a03-cfc-rules-nta-ja-pack-07.txt
beps-a03-cfc-rules-nta-ja-p049	p049	49	49	beps-a03-cfc-rules-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 105. A 国の CFC ルールで、Sub B 社の損失を Sub B 社の所得に制限していない場合、総損失 額 1 200 が総所得額 1 500 と相殺されるこ...	packs/beps-a03-cfc-rules-nta-ja-pack-08.txt
beps-a03-cfc-rules-nta-ja-p050	p050	50	50	beps-a03-cfc-rules-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 注記 1． CFC 所得を通常は別の国の法令を用いて算定している場合に、損失のような特定の事項の 取扱いについての問題に答えるために国内法の規定を用いれば、混...	packs/beps-a03-cfc-rules-nta-ja-pack-08.txt
beps-a03-cfc-rules-nta-ja-p051	p051	51	51	beps-a03-cfc-rules-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 第 6 章：所得の合算ルール 109. 本章では、所得の合算に関する第五の CFC ルール構成要素に対する勧告を行う。CFC 所得の額を算定したら、次のステップでは、当該所得を適切な CFC の株主に合算する方法を決 定す...	packs/beps-a03-cfc-rules-nta-ja-pack-08.txt
beps-a03-cfc-rules-nta-ja-p052	p052	52	52	beps-a03-cfc-rules-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 ことである。また、納税者は、CFC の活動や所得に関する情報を収集するために、確実に十分 な影響力を持つことができる。しかし、合算を決定するため、支配ルールを用いることは、少...	packs/beps-a03-cfc-rules-nta-ja-pack-08.txt
beps-a03-cfc-rules-nta-ja-p053	p053	53	53	beps-a03-cfc-rules-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 6.2.3 所得はいつ税務申告に含むべきか 117. 多くの既存の CFC ルールでは、合算された所得は、CFC の決算期が終了する課税年度 の納税者の課税所得に含まれなければならない。ただし、いくつかの国では、合...	packs/beps-a03-cfc-rules-nta-ja-pack-08.txt
beps-a03-cfc-rules-nta-ja-p054	p054	54	54	beps-a03-cfc-rules-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 らの所得を移転する相当なインセンティブを有すると考えられる。自らの CFC 所得に課税され る最高税率が 12%であるから、すなわち自らの所得が親法人所在地国で取得された場合に適用 される税率よりも 18%ポイント...	packs/beps-a03-cfc-rules-nta-ja-pack-08.txt
beps-a03-cfc-rules-nta-ja-p055	p055	55	55	beps-a03-cfc-rules-nta-ja	...照されたい。 第 7 章：二重課税を防止・解消するルール 121. 本章では、二重課税を防止又は解消するルールに関する第六の、かつ、最後の CFC 構 成要素に対する勧告を行う。第 1 章で検討した通り、CFC ルールで生ずる基本的な政策上の検 討事項の一つは、成長及び経済開発の障害と...	packs/beps-a03-cfc-rules-nta-ja-pack-08.txt
beps-a03-cfc-rules-nta-ja-p056	p056	56	56	beps-a03-cfc-rules-nta-ja	...の仮訳であって、正確には原文を参照されたい。 しろ外国税額を国内税額から直接控除することから、損金算入法よりも包括的に二重課税を解消 する。CFC 制度の目的が別の国に移転された所得に対する課税権を主張することであることを 考慮に入れると、CFC ルールの適用を壊してしまうことから、 ...	packs/beps-a03-cfc-rules-nta-ja-pack-09.txt
beps-a03-cfc-rules-nta-ja-p057	p057	57	57	beps-a03-cfc-rules-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 128. 上述の状況の下で、C Sub 社は、B Sub 社の直接の CFC であるとともに、親法人 A の間 接のCFC でもある。また、B Sub 社は親法人A の CFC でもある。A 国と B 国の両方にCF...	packs/beps-a03-cfc-rules-nta-ja-pack-09.txt
beps-a03-cfc-rules-nta-ja-p058	p058	58	58	beps-a03-cfc-rules-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 配当の免税額を CFC ルールが適用された課税年度中に CFC に生じた利益の額までに制限するこ とも含まれる。 133. 最初のシナリオに関して生ずるもう一つの...	packs/beps-a03-cfc-rules-nta-ja-pack-09.txt
beps-a03-cfc-rules-nta-ja-p059	p059	59	59	beps-a03-cfc-rules-nta-ja	...ある Sub C 社）を所有している。B 国と C 国の間で移転価格調整が行わ れ、その結果 C 国における利益が増加した。A 国が自国の CFC ルールを B 社と C 社の両 方に適用する場合、A 国は、B 国において納められた軽減された外国税額と C 国において 納められた増額さ...	packs/beps-a03-cfc-rules-nta-ja-pack-09.txt
beps-a04-interest-deductions-nta-ja-p003	p003	3	3	beps-a04-interest-deductions-nta-ja	................................... 72 ベストプラクティス・アプローチと行動3 に基づく外国子会社合算税制（CFC ルール）との相互作 用 ............................................................	packs/beps-a04-interest-deductions-nta-ja-pack-01.txt
beps-a04-interest-deductions-nta-ja-p011	p011	11	11	beps-a04-interest-deductions-nta-ja	...払を生じさせる取決めについては、行動 2（ハイブリッド・ミ スマッチの効果の無効化）に基づき策定されたモデルルールを通じて対処する。行動3（CFC ルール の強化）に基づく作業では、外国子会社合算税制（CFC ルール）の設計に関連する勧告を策定してお り、とりわけ低課税国における被支配...	packs/beps-a04-interest-deductions-nta-ja-pack-02.txt
