id	pid	page_start	page_end	section_id	context	core
p142-4.28	4.28	142	143	ch04	...るよう奨励される。 C 対応的調整及び相互協議手続：OECDモデル租税条約第9条及び第25条1 1 税源浸食と利益移転（BEPS）に関する包摂的枠組みの参加国・地域は、条約関連紛争の解決 に関するミニマム・スタンダードにつき合意している。本第4章第...	packs/ch04-pack-01.txt
p146-4.41	4.41	146	147	ch04	...案の結果とのバランスを参照して決定を行 うべきではない、ということである。適用可能な範囲において、本ガイドライン及 び BEPS 行動 14 に関する報告書において詳述される提案事項は、(最低基準とベス ト・プラクティスとの違いを念頭に置いた上で)...	packs/ch04-pack-01.txt
p148-4.43	4.43	148	148	ch04	...なければならない。条約相手国の移転価格調整に関し て相互協議の利用を認めないことは、租税条約の一次的な目的を損ない得る。BEPS 行動計画の行動 14 の作業は、条約相手国の移転価格課税に対して相互協議の利用が 拒否されることへの懸念事項に直接対応...	packs/ch04-pack-01.txt
p149-4.50	4.50	149	150	ch04	...いて規 定される調整の期間制限を反映するよう起草されれば、ミニマム・スタンダードの 上記要素を満たすことになるであろう。BEPS 行動 14 に関する報告書において提示 される当該代替的規定は、次のとおりである。 ［第9条に追加］： 3. 一方の締...	packs/ch04-pack-02.txt
p151-4.56	4.56	151	152	ch04	...決のため、 合意に達するよう尽力している。そのため、条約に関連する紛争を適時に効果的 かつ効率的な解決を確保するために、BEPS 行動計画の行動 14 で採用されたミニ マム・スタンダードは、平均して 24 か月以内に相互協議事案の解決を求めている...	packs/ch04-pack-02.txt
p153-4.62	4.62	153	153	ch04	...ら、相互協議に係る指針が公表されており容易に入手可能で ある場合、相互協議のプロセスに対する納税者の貢献は、促進される。BEPS 行動計 画の行動 14 の作業は、当該指針を提供することの重要性を直接的に認識している。 行動 14 のミニマム・スタ...	packs/ch04-pack-02.txt
p154-4.65	4.65	154	155	ch04	...が解決される前に同 じ税金を 2 度支払わされるかもしれない。この問題は、相互協議に限らず、不服申 立ての場合も生じる。BEPS 行動計画の行動 14 の作業は、相互協議を通じて事案が 解決される前に両締約国が租税を徴収することは、納税者の事業に対...	packs/ch04-pack-02.txt
p155-4.66	4.66	155	155	ch04	...次調整を行う国により課された利息を超過する場合）が 多国籍企業にもたらされることを考慮に入れるべきである。上記のとおり、BEPS 行 動 14 報告書は、ベスト・プラクティス 10 として、相互協議の指針を公表する国は、 相互協議中の利息に対する指...	packs/ch04-pack-02.txt
p172-4.134	4.134	172	172	ch04	...月に採択され、本書の付録に掲載されている。また、租 税条約に関連する紛争を適時に効果的かつ効率的な解決を確保するための BEPS 行 動計画行動 14 の拘束力のないベスト・プラクティス 4 として次が勧告された。当勧 告では、APA が条約締結国...	packs/ch04-pack-05.txt
p195-5.54	5.54	195	196	ch05	5.54 OECD／G20 BEPS プロジェクト参加国は、追加データや別データの必要性を 含め、上記パラグラフに規定した収入基準の妥当性について、2020...	packs/ch05-pack-01.txt
p196-5.59	5.59	196	197	ch05	...すべ きである。特に、各国は、国別報告書をハイレベルの移転価格リスク評価に使用す ることを約束するだろう。各国は、他の BEPS 関連リスクを評価するために国別報 告書を使用することもできる。各国は、いかなる納税者の所得につき、国別報告書 のデータ...	packs/ch05-pack-01.txt
