id	pid	page_start	page_end	section_id	context	core
beps-a04-interest-deductions-nta-ja-p078	p078	78	78	beps-a04-interest-deductions-nta-ja	... 80% 5% 3% 85% 4% 3% 90% 4% 3% 95% 4% 3% 100% 3% 3% 出典：表 B.1 のデータに基づき、OECD 事務局が算定 表 B.3 多国籍企業と非多国籍企業の集計表（EBITDA がマイナスの企業 を除く）（2009～2013 年までの平均値）...	packs/beps-a04-interest-deductions-nta-ja-pack-13.txt
beps-a08-10-tp-value-creation-nta-ja-p009	p009	9	9	beps-a08-10-tp-value-creation-nta-ja	...た規則に従う必要がある。規制企業に対するリスク配分に係る規制的アプローチ は考慮されるべきであり、かつ、「恒久的施設への帰属所得レポート」（OECD, 2010 ）に含まれる金融サービス 業に対 する個別の移転価格指針を適切に参照すべきである。	packs/beps-a08-10-tp-value-creation-nta-ja-pack-01.txt
beps-a08-10-tp-value-creation-nta-ja-p031	p031	31	31	beps-a08-10-tp-value-creation-nta-ja	...ない。）と独立企業が輸入した類似の商品の価値 とを比較する場合の原則として、多くの関税当局により適用されている。しかし、関税の評 価方法は、OECD が認めた移転価格算定方法と合致しないこともあるであろう。そうではあ るものの、関税の評価額は、税務当局にとって関連者間取引における移転価格...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-06.txt
beps-a08-10-tp-value-creation-nta-ja-p040	p040	40	40	beps-a08-10-tp-value-creation-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 無形資産 移転価格ガイドライン第 6 章の改訂 6.1 OECD モデル租税条約第 9 条に基づき、無形資産の使用又は移転において、二の関連者 間で、独立の企業の間に設けられる条件と異なる条件が設けられ、...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-07.txt
beps-a08-10-tp-value-creation-nta-ja-p042	p042	42	42	beps-a08-10-tp-value-creation-nta-ja	...他の税目的との関連性 6.13 本章の指針では、移転価格上の問題のみを取り上げる。その他の税目的と関連づける ことは意図していない。例えば、OECD モデル租税条約第 12 条のコメンタリーには、同条	packs/beps-a08-10-tp-value-creation-nta-ja-pack-08.txt
beps-a08-10-tp-value-creation-nta-ja-p043	p043	43	43	beps-a08-10-tp-value-creation-nta-ja	...いない。したがって、移転価格算定上、この定義は関係がないものである。加えて、 移転価格算定上の取引の性格付けは、特定の支払が使用料に該当し、OECD モデル租税条約 第 12 条に基づく源泉税が課されるかどうかといった問題とも関係はない。移転価格算定上 の無形資産の概念と OECD モデ...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-08.txt
beps-a08-10-tp-value-creation-nta-ja-p062	p062	62	62	beps-a08-10-tp-value-creation-nta-ja	...ある取引に関 与しているかを確認する上で有益となり得る典型的なシナリオについて示す。事例 19 を参 照。移転価格算定上の取引の特徴付けは、OECD モデル租税条約第 12 条における決定とは 何の関連性も有しない。OECD モデル租税条約第 12 条に対する注釈のパラグラフ 8 から ...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-12.txt
beps-a08-10-tp-value-creation-nta-ja-p072	p072	72	72	beps-a08-10-tp-value-creation-nta-ja	...算定方法に 関する補足指針 6.136 特定の事実によっては、複数の無形資産の移転が関わる関連者間取引の場合でも、第 2 章で述べた五つの OECD 移転価格算定方法のいずれもが、最適な移転価格算定方法となり 得る。他の代替的な方法の使用も適切となり得る。 6.137 比較可能性分析にお...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-14.txt
beps-a08-10-tp-value-creation-nta-ja-p076	p076	76	76	beps-a08-10-tp-value-creation-nta-ja	...算を前提とした評価テクニックは、適切に使用されれば特に有用か もしれない。事実及び状況によっては、評価テクニックは、第2 章で述べた五つの OECD 移 転価格算定方法のいずれかの一形態として、又は独立企業間価格の特定に使用され得る手段 として、納税者及び税務当局に使用される場合がある。...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-14.txt
beps-a08-10-tp-value-creation-nta-ja-p078	p078	78	78	beps-a08-10-tp-value-creation-nta-ja	...る。様々な懸念が上記で示され、以下のパラグラフで詳細に述べられているにも関 わらず、状況によっては、こうした評価テクニックの使用は、五つの OECD 移転価格算定方 法のうちの一つの算定方法の一部として又は有効なツールとして、その他の移転価格算定方 法の適用に比べてより信頼性が高いと証明...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-15.txt
beps-a08-10-tp-value-creation-nta-ja-p087	p087	87	87	beps-a08-10-tp-value-creation-nta-ja	...連者間における商品の販売又は役務提供で無形資産の使用が関わる取引の場 合であっても、信頼し得る比較対象があれば、第2 章で述べた 5 つの OECD 移転価格算定方 法のうちのいずれもが、最適な移転価格算定方法となり得る。 6.205 検証対象法人がユニークで価値ある無形資産を使用しない...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-17.txt
beps-a14-dispute-resolution-nta-ja-p002	p002	2	2	beps-a14-dispute-resolution-nta-ja	...あってはならないということに合意する。したがって、紛争解決 メカニズムを改善することは、BEPS に対する取組において不可欠の要素である。 OECD モデル租税条約第 25 条（2014 年）は、国内法に基づいて利用可能な通常の法的救済手段 から独立した、両締約国の権限のある当局が、租税...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p003	p003	3	3	beps-a14-dispute-resolution-nta-ja	...ルクセンブルク、オランダ、ニュージーランド、ノルウェ ー、 ポーランド、スロベニア、スペイン、スウェーデン、スイス、英国及び米国である 。OECD へ の報告によると、上記の国々は、全体として、2013 年末現在における未解決の相互協議事案のう ち90%を超える事案に関与しており、大き...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p004	p004	4	4	beps-a14-dispute-resolution-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 - 3 - 序 1. OECD は G20 の要請を受けて、2013 年 7 月に「税源浸食と利益移転に関する行動計画 （BEPS 行動計画）」を公表した。BEPS 行動...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p005	p005	5	5	beps-a14-dispute-resolution-nta-ja	...互協議へのアクセスを確保すべきで ある。 5. ミニマムスタンダードの 一部である具体的な措置には 説明が加えられており、場合に よっては、OECD モデル租税条約の改正（OECD モデル租税条約の既存の文言を改正する場合 は、太字の斜体で追加を、見え消しで削除を表している）を伴う。OE...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p006	p006	6	6	beps-a14-dispute-resolution-nta-ja	...セスを提供すべきであり、さらにその結果得られた相互の合意事項 （例えば、課された租税に対する適切な調整の実施）を実施すべきである。 10. OECD モデル租税条約第 25 条第 1 項から第 3 項は、締約国の権限のある当局が、租税 条約の解釈や適用に関する相違点又は困難を相互の合意に...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p008	p008	8	8	beps-a14-dispute-resolution-nta-ja	...協議申立てについては、上記のコミットメントを行うこと に同意する。 17. 締約国が相互協議へのアクセスを拒否できる状況を明確にするために、OECD モデル租 税条約の次回改正の一環として、第 25 条のコメンタリー改正を予定している。 1.3 各国は、適時に MAP 事案を解決すること...	packs/beps-a14-dispute-resolution-nta-ja-pack-01.txt
beps-a14-dispute-resolution-nta-ja-p009	p009	9	9	beps-a14-dispute-resolution-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 - 8 - 20. 2006 年以降、OECD は OECD 加盟国及び非 OECD 加盟国のうち相互協議に関する統計 の提出に同意する国から、当該統計を収集し公表している。こうした統計...	packs/beps-a14-dispute-resolution-nta-ja-pack-01.txt
beps-a14-dispute-resolution-nta-ja-p012	p012	12	12	beps-a14-dispute-resolution-nta-ja	...AP に対して当該プロセスが与える影響を明示的に記述すべきである。 32. 調査上の和解があった事案における MAP へのアクセスの問題は、OECD モデル租税条 約の次回改正時に、第 25 条のコメンタリーを改正 することで対処する予定である。当該改正 は、特に、相互協議を通じ二国間で...	packs/beps-a14-dispute-resolution-nta-ja-pack-02.txt
beps-a14-dispute-resolution-nta-ja-p021	p021	21	21	beps-a14-dispute-resolution-nta-ja	...定めなければならないことが確認されるべきである。 45. 第 25 条第 3 項に基づいて締結する相互協議の合意の法的地位を明確にするため、OECD モデル租税条約の次回改正の一環として、OECD モデル租税条約第 3 条及び第 25 条のコメンタ リー改正を予定している。 ベストプラク...	packs/beps-a14-dispute-resolution-nta-ja-pack-03.txt
beps-a14-dispute-resolution-nta-ja-p022	p022	22	22	beps-a14-dispute-resolution-nta-ja	...当な一連の基準（例えば、移転価格の算定方法、比較対象 とそれらに行う適当な調整、将来の事象に ついての重要な前提）を決定する取極」である。 OECD の多国籍企業と税務当局のための移転価格ガイドラインの第 4.123 パラグラフを参照され たい。条約相手国の権限のある当局と二国間で締結し...	packs/beps-a14-dispute-resolution-nta-ja-pack-04.txt
beps-a14-dispute-resolution-nta-ja-p023	p023	23	23	beps-a14-dispute-resolution-nta-ja	...である。当該徴収手続の停止は、 少なくとも、国内の行政上又は司法上の救済を求める者に適用する場合と同じ条件で利用できる ようにすべきである。OECD モデル租税条約の次回改正の際に、第 25 条のコメンタリーに当該 ベストプラクティスに関連した改正を行う予定であり、特に、MAP 事案が継...	packs/beps-a14-dispute-resolution-nta-ja-pack-04.txt
beps-a14-dispute-resolution-nta-ja-p027	p027	27	27	beps-a14-dispute-resolution-nta-ja	...子及び罰金に関する配慮についてのガイダンスを示すべきである。 57. 相互協議における利子及び罰金に関する配慮に関連する問題に対処するため、OECD モ デル租税条約の次回改正の一環として、OECD モデル租税条約第 25 条のコメンタリー改正を予 定している。	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
beps-a14-dispute-resolution-nta-ja-p028	p028	28	28	beps-a14-dispute-resolution-nta-ja	...ダンスを定めるべきである。 58. 近年、グローバル化が著しく進展する中、既存の租税条約の紛争解決メカニズムに類を 見ない課題が生じている。OECD モデル租税条約の第 25 条に定める相互協議手続は、伝統的に 二国間の紛争の解決に焦点を当ててきたが、地域的及び世界的なビジネスモデルが採...	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
beps-a14-dispute-resolution-nta-ja-p029	p029	29	29	beps-a14-dispute-resolution-nta-ja	...的に解決されることを確保する最善の方法と考えている。MAP 事案の解決を確保するメカ ニズムとして仲裁制度を採用することについては、全ての OECD 加盟国及び G20 諸国における コンセンサスは得られていないが、以下の国のグループが、さもなければ相互協議を通じた事案 解決が妨げられる...	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
beps-a14-dispute-resolution-nta-ja-p030	p030	30	30	beps-a14-dispute-resolution-nta-ja	...ニタリングは、ミニマムスタンダードの有意義な実施を確保する上で不可欠であ り、付託事項及び評価手法に従って行われる。付託事項及び評価手法は、OECD 租税委員会のう ち租税条約及び関連問題に関する第 1 作業部会（第 1 作業部会）及び税務長官会議の相互協議 フォーラム（FTA MAP ...	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
beps-a14-dispute-resolution-nta-ja-p031	p031	31	31	beps-a14-dispute-resolution-nta-ja	...タリングプロセスのための明確な行 程表を示し、これによって全ての国の評価が一貫的で、かつ、完全であることを確保するものと する。評価手法は、OECD 加盟国、G20 諸国及びその他の FTA MAP フォーラムを通じてコミッ トした国に対する参加国によるモニタリングのための詳細な手続及び...	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
beps-a14-dispute-resolution-nta-ja-p032	p032	32	32	beps-a14-dispute-resolution-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 - 31 - 参考文献 OECD 「OECDモデル租税条約」(OECD Publishing, Paris, 2014年) http://dx.doi.org/10.178...	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
beps-a14-peer-review-monitoring-nta-ja-p001	p001	1	1	beps-a14-peer-review-monitoring-nta-ja	...参加国によりレビ ュー及びモニタリングされることについてもコミットしている。 ピアレビュー及びモニタリングプロセス 2016 年 10 月、OECD は主要文書（key documents）を発表した。これは、「BEPS 包摂的枠組」に よって承認されたもので、BEPS 行動計画の行動 ...	packs/beps-a14-peer-review-monitoring-nta-ja-pack-00.txt
beps-a14-peer-review-documents-oecd-en-p002	p002	2	2	beps-a14-peer-review-documents-oecd-en	...ORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 OECD/G20 Base Erosion and Profit Shifting Project BEPS Action 14...	packs/beps-a14-peer-review-documents-oecd-en-pack-00.txt
beps-a14-peer-review-documents-oecd-en-p003	p003	3	3	beps-a14-peer-review-documents-oecd-en	...ORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 This document, as well as any data and any map included herein, ...	packs/beps-a14-peer-review-documents-oecd-en-pack-00.txt
