id	pid	page_start	page_end	section_id	context	core
beps-min-standards-progress-2025-oecd-en-p006	p006	6	6	beps-min-standards-progress-2025-oecd-en	...eement Procedures 10 Annex A. Revised methodology for the work of the FHTP 13	packs/beps-min-standards-progress-2025-oecd-en-pack-00.txt
beps-min-standards-progress-2025-oecd-en-p008	p008	8	8	beps-min-standards-progress-2025-oecd-en	...port on Action 5 (OECD, 2015[2]), the Forum on Harmful Tax Practices (FHTP) reviewed and refined the framework for identifying harmful tax pract...	packs/beps-min-standards-progress-2025-oecd-en-pack-01.txt
beps-min-standards-progress-2025-oecd-en-p009	p009	9	9	beps-min-standards-progress-2025-oecd-en	...sed in 2024 a renewed fo cus that prioritises burden reduction of the FHTP’s processes , particularly for developing countries, and aims to supp...	packs/beps-min-standards-progress-2025-oecd-en-pack-02.txt
beps-min-standards-progress-2025-oecd-en-p014	p014	14	14	beps-min-standards-progress-2025-oecd-en	...TANDARDS © OECD 2025 Annex A. Revised methodology for the work of the FHTP Revised methodology for the review of preferential regimes Introducti...	packs/beps-min-standards-progress-2025-oecd-en-pack-04.txt
beps-min-standards-progress-2025-oecd-en-p015	p015	15	15	beps-min-standards-progress-2025-oecd-en	...s follows: • Step 1. Identification of regimes that may be within the FHTP’s scope. This identification will initially be made by the jurisdicti...	packs/beps-min-standards-progress-2025-oecd-en-pack-04.txt
beps-min-standards-progress-2025-oecd-en-p016	p016	16	16	beps-min-standards-progress-2025-oecd-en	...fication of the preferential regime. This is an essential step in the FHTP’s review process, because without it, the FHTP is not aware of all th...	packs/beps-min-standards-progress-2025-oecd-en-pack-05.txt
beps-min-standards-progress-2025-oecd-en-p017	p017	17	17	beps-min-standards-progress-2025-oecd-en	...RDS © OECD 2025 2. A list of regimes that are within the scope of the FHTP, including a preliminary indication from the Secretariat on whether a...	packs/beps-min-standards-progress-2025-oecd-en-pack-05.txt
beps-min-standards-progress-2025-oecd-en-p018	p018	18	18	beps-min-standards-progress-2025-oecd-en	...© OECD 2025 List 3: regimes for possible further consideration by the FHTP For the purpose of visibility for the FHTP, certain regimes will be r...	packs/beps-min-standards-progress-2025-oecd-en-pack-06.txt
beps-min-standards-progress-2025-oecd-en-p019	p019	19	19	beps-min-standards-progress-2025-oecd-en	... Secretariat will propose one of the following three decisions to the FHTP: • Proceed with legislative review. When the assessment indicates tha...	packs/beps-min-standards-progress-2025-oecd-en-pack-06.txt
beps-min-standards-progress-2025-oecd-en-p020	p020	20	20	beps-min-standards-progress-2025-oecd-en	...cally mobile activities and meets this factor, it is in scope for the FHTP. However, the tax rate factor alone does not imply that a preferentia...	packs/beps-min-standards-progress-2025-oecd-en-pack-07.txt
beps-min-standards-progress-2025-oecd-en-p021	p021	21	21	beps-min-standards-progress-2025-oecd-en	...t would be found to be “harmful”. Under the previous methodology, the FHTP could also conclude regimes as “potentially harmful” and “potentially...	packs/beps-min-standards-progress-2025-oecd-en-pack-07.txt
beps-min-standards-progress-2025-oecd-en-p022	p022	22	22	beps-min-standards-progress-2025-oecd-en	...imelines As noted in the above table, one of the conclusions that the FHTP can reach is “in the process of being amended/eliminated”. This concl...	packs/beps-min-standards-progress-2025-oecd-en-pack-08.txt
beps-min-standards-progress-2025-oecd-en-p023	p023	23	23	beps-min-standards-progress-2025-oecd-en	... but not actually harmful” conclusion was reached, will remain on the FHTP’s public lists of regimes and will be added to the list of regimes fo...	packs/beps-min-standards-progress-2025-oecd-en-pack-08.txt
beps-min-standards-progress-2025-oecd-en-p024	p024	24	24	beps-min-standards-progress-2025-oecd-en	...s five preferential regimes (step 1) of which two are in scope of the FHTP’s review (step 2). The Secretariat presents the two regimes to the FH...	packs/beps-min-standards-progress-2025-oecd-en-pack-09.txt
beps-min-standards-progress-2025-oecd-en-p025	p025	25	25	beps-min-standards-progress-2025-oecd-en	...nd frequency of monitoring and peer review exercises Introduction The FHTP undertakes annual monitoring and peer review exercises. More specific...	packs/beps-min-standards-progress-2025-oecd-en-pack-09.txt
beps-min-standards-progress-2025-oecd-en-p026	p026	26	26	beps-min-standards-progress-2025-oecd-en	...rmation requirements will be retained. The regimes will remain on the FHTP’s public lists of regimes and, for transparency purposes, will be inc...	packs/beps-min-standards-progress-2025-oecd-en-pack-10.txt
beps-min-standards-progress-2025-oecd-en-p027	p027	27	27	beps-min-standards-progress-2025-oecd-en	...roughout the grandfathering years. No regime has been reopened by the FHTP bec ause of the monitoring results. This indicates that the legislati...	packs/beps-min-standards-progress-2025-oecd-en-pack-10.txt
beps-min-standards-progress-2025-oecd-en-p028	p028	28	28	beps-min-standards-progress-2025-oecd-en	.... When there are amendments in the legislation of a jurisdiction, the FHTP reviews this too on a rolling basis. In line with the FHTP’s standard...	packs/beps-min-standards-progress-2025-oecd-en-pack-11.txt
beps-min-standards-progress-2025-oecd-en-p029	p029	29	29	beps-min-standards-progress-2025-oecd-en	...progress can be documented swiftly. Summary The agreed changes to the FHTP’s scope and frequency of annual monitoring and peer review exercises ...	packs/beps-min-standards-progress-2025-oecd-en-pack-11.txt
