id	pid	page_start	page_end	snippet	core
qatar--200221qat-j-preamble	preamble	1	3	「税源浸食及び利益移転を防止するための租税条約関連措置を実施するた めの多数国間条約」及び「所得に対する租税に関する二重課税の回避及び 脱税の防止のための日本国政府とカタール国政府との間の協定」に係る統 合条文 この文書は、日本国によって2	packs/qatar--200221qat-j-pack-00.txt
qatar--200221qat-j-a1	1	3	3	第一条 対象となる者 この協定は、一方又は双方の締約国の居住者である者に適用する。	packs/qatar--200221qat-j-pack-00.txt
qatar--200221qat-j-a6	6	3	3	第六条 対象租税協定の目的 両国間の経済関係の一層の発展を図ること及び租税に関する両国間の協 力を強化することを希望し、 所得に対する租税に関し、 二重課税を回避し、 及び脱税を防止するための 協定を締結することを希望して、 （注）次のＢＥ	packs/qatar--200221qat-j-pack-00.txt
qatar--200221qat-j-a6	6	3	3	第六条 対象租税協定の目的 協定の対象となる租税に関して、脱税又は租税回避を通じた非課税又は 租税の軽減（両締約国以外の国又は地域の居住者の間接的な利益のために 協定において与えられる租税の免除又は軽減を得ることを目的とする条約 漁(あさ)	packs/qatar--200221qat-j-pack-00.txt
qatar--200221qat-j-a2	2	4	4	第二条 対象となる租税 １ この協定は、一方の締約国又は一方の締約国の地方政府若しくは地方 公共団体のために課される所得に対する租税（課税方法のいかんを問わ ない。）について適用する。 ２ 総所得又は所得の要素に対する全ての租税（財産の譲渡	packs/qatar--200221qat-j-pack-00.txt
qatar--200221qat-j-a3	3	4	5	第三条 一般的定義 １ この協定の適用上、文脈により別に解釈すべき場合を除くほか、 (a) 「日本国」とは、地理的意味で用いる場合には、日本国の租税に関 する法令が施行されている全ての領域（領海を含む。）及びその領域 の外側に位置する区域で	packs/qatar--200221qat-j-pack-00.txt
qatar--200221qat-j-a4	4	6	6	第四条 居住者 １ この協定の適用上、「一方の締約国の居住者」とは、次の者をいう。 (a) 日本国については、日本国の法令の下において、住所、居所、本店 又は主たる事務所の所在地その他これらに類する基準により日本国 において租税を課されるべ	packs/qatar--200221qat-j-pack-00.txt
qatar--200221qat-j-a5	5	6	8	第五条 恒久的施設 １ この協定の適用上、 「恒久的施設」とは、事業を行う一定の場所であっ て企業がその事業の全部又は一部を行っているものをいう。 ２ 「恒久的施設」には、特に、次のものを含む。 (a) 事業の管理の場所 (b) 支店 (c	packs/qatar--200221qat-j-pack-00.txt
qatar--200221qat-j-a6	6	8	8	第六条 不動産所得 １ 一方の締約国の居住者が他方の締約国内に存在する不動産から取得す る所得（農業又は林業から生ずる所得を含む。）に対しては、当該他方の 締約国において租税を課することができる。 ２ 「不動産」とは、当該財産が存在する締約	packs/qatar--200221qat-j-pack-00.txt
qatar--200221qat-j-a7	7	9	9	第七条 事業利得 １ 一方の締約国の企業の利得に対しては、当該一方の締約国の企業が他 方の締約国内にある恒久的施設を通じて当該他方の締約国内において事 業を行わない限り、当該一方の締約国においてのみ租税を課することが できる。一方の締約国の	packs/qatar--200221qat-j-pack-02.txt
qatar--200221qat-j-a8	8	9	10	第八条 海上運送及び航空運送 １ 一方の締約国の企業が船舶又は航空機を国際運輸に運用することによ って取得する利得に対しては、当該一方の締約国においてのみ租税を課 することができる。 ２ 第二条の規定にかかわらず、 一方の締約国の企業は、 	packs/qatar--200221qat-j-pack-00.txt
qatar--200221qat-j-a10	10	10	11	第十条 配当 １ 一方の締約国の居住者である法人が他方の締約国の居住者に支払う配 当に対しては、当該他方の締約国において租税を課することができる。 ２ １に規定する配当に対しては、これを支払う法人が居住者とされる一 方の締約国においても、当	packs/qatar--200221qat-j-pack-01.txt
qatar--200221qat-j-a9	9	10	10	第九条 関連企業 １ 次のいずれかに該当する場合であって、そのいずれの場合においても、 商業上又は資金上の関係において、 双方の企業の間に、 独立の企業の間に 設けられる条件と異なる条件が設けられ、 又は課されているときは、 その 条件がな	packs/qatar--200221qat-j-pack-01.txt
qatar--200221qat-j-a11	11	11	13	第十一条 利子 １ 一方の締約国内において生じ、他方の締約国の居住者に支払われる利 子に対しては、当該他方の締約国において租税を課することができる。 ２ １に規定する利子に対しては、当該利子が生じた一方の締約国におい ても、 当該一方の締約	packs/qatar--200221qat-j-pack-01.txt
qatar--200221qat-j-a12	12	13	14	第十二条 使用料 １ 一方の締約国内において生じ、他方の締約国の居住者に支払われる使 用料に対しては、当該他方の締約国において租税を課することができる。 ２ １に規定する使用料に対しては、当該使用料が生じた一方の締約国に おいても、当該一方	packs/qatar--200221qat-j-pack-01.txt
qatar--200221qat-j-a13	13	14	15	第十三条 譲渡収益 １ 一方の締約国の居住者が第六条に規定する不動産であって他方の締約 国内に存在するものの譲渡によって取得する収益に対しては、当該他方 の締約国において租税を課することができる。 ２ 一方の締約国の居住者が法人、 組合又は	packs/qatar--200221qat-j-pack-01.txt
