id	number	date_iso	tax_types	issue_hint	url
43_43	裁決事例集No.43-43	1988-10-01	法人税	（平4.6.25、裁決事例集No.43 507頁） | 公表裁決事例等の紹介 | 国税不服審判所 本文へジャンプします サイト内検索 検索の仕方 利用案内 サイトマップ 関連リンク ホーム >> 公表裁決事例集等の紹介 >> 公表裁決事例 >> 裁決事例集 No.43 >> （平4.6.25、裁決事例集No.43 507頁） （平4.6.25、裁決事例集No.43 507頁） 《裁決書（抄）》 1 事実 審査請求人（以下「請求人」という。	https://www.kfs.go.jp/service/JP/43/43/index.html
45_01	裁決事例集No.45-1	1990-03-31	法人税	トップに戻る 3 判断 本件審査請求の争点は、原処分庁が本件通達の趣旨に反して本件認定申請書の内容審査を速やかに行わず、長期間経過後に本件通知書を送付するなど事務処理を怠り、請求人に過少申告加算税等附帯税について多大な損失を与えたとして、原処分を取り消すべきか、否かにあるので、以下審理する。	https://www.kfs.go.jp/service/JP/45/01/index.html
45_02	裁決事例集No.45-2	1990-03-31	法人税	（平5.3.24、裁決事例集No.45 9頁） | 公表裁決事例等の紹介 | 国税不服審判所 本文へジャンプします サイト内検索 検索の仕方 利用案内 サイトマップ 関連リンク ホーム >> 公表裁決事例集等の紹介 >> 公表裁決事例 >> 裁決事例集 No.45 >> （平5.3.24、裁決事例集No.45 9頁） （平5.3.24、裁決事例集No.45 9頁） 《裁決書（抄）》 1 事実 (1) 審査請求人（以下「請求人」という。	https://www.kfs.go.jp/service/JP/45/02/index.html
45_15	裁決事例集No.45-15	1990-07-31	法人税	（平5.4.30、裁決事例集No.45 177頁） | 公表裁決事例等の紹介 | 国税不服審判所 本文へジャンプします サイト内検索 検索の仕方 利用案内 サイトマップ 関連リンク ホーム >> 公表裁決事例集等の紹介 >> 公表裁決事例 >> 裁決事例集 No.45 >> （平5.4.30、裁決事例集No.45 177頁） （平5.4.30、裁決事例集No.45 177頁） 《裁決書（抄）》 1 事実 審査請求人（以下「請求人」という。	https://www.kfs.go.jp/service/JP/45/15/index.html
45_16	裁決事例集No.45-16	1990-06-01	法人税	（平5.6.17、裁決事例集No.45 189頁） | 公表裁決事例等の紹介 | 国税不服審判所 本文へジャンプします サイト内検索 検索の仕方 利用案内 サイトマップ 関連リンク ホーム >> 公表裁決事例集等の紹介 >> 公表裁決事例 >> 裁決事例集 No.45 >> （平5.6.17、裁決事例集No.45 189頁） （平5.6.17、裁決事例集No.45 189頁） 《裁決書（抄）》 1 事実 (1) 法人税 審査請求人（以下「請求人」という。	https://www.kfs.go.jp/service/JP/45/16/index.html
46_12	裁決事例集No.46-12	1986-08-01	法人税	トップに戻る 3 判断 本件審査請求の争点は、更正処分に係る手続の違法性の存否、Ｒ町物件の譲渡価額の多寡及び重加算税賦課決定処分の適否にあるので、以下審理する。	https://www.kfs.go.jp/service/JP/46/12/index.html
46_14	裁決事例集No.46-14	1990-01-31	法人税	（平5.12.15、裁決事例集No.46 156頁） | 公表裁決事例等の紹介 | 国税不服審判所 本文へジャンプします サイト内検索 検索の仕方 利用案内 サイトマップ 関連リンク ホーム >> 公表裁決事例集等の紹介 >> 公表裁決事例 >> 裁決事例集 No.46 >> （平5.12.15、裁決事例集No.46 156頁） （平5.12.15、裁決事例集No.46 156頁） 《裁決書（抄）》 1 事実 審査請求人（以下「請求人」という。	https://www.kfs.go.jp/service/JP/46/14/index.html
47_03	裁決事例集No.47-3	1991-03-01	法人税	（平6.3.1、裁決事例集No.47 16頁） | 公表裁決事例等の紹介 | 国税不服審判所 本文へジャンプします サイト内検索 検索の仕方 利用案内 サイトマップ 関連リンク ホーム >> 公表裁決事例集等の紹介 >> 公表裁決事例 >> 裁決事例集 No.47 >> （平6.3.1、裁決事例集No.47 16頁） （平6.3.1、裁決事例集No.47 16頁） 《裁決書（抄）》 1 事実 (1) 審査請求人（以下「請求人」という。	https://www.kfs.go.jp/service/JP/47/03/index.html
49_16	裁決事例集No.49-16	1991-04-01	法人税	トップに戻る 3 判断 本件審査請求の争点は、本件不動産の譲渡価額等にあるので、以下この点について審理する。	https://www.kfs.go.jp/service/JP/49/16/index.html
49_17	裁決事例集No.49-17	1990-04-01	法人税	（平7.2.10裁決、裁決事例集No.49 311頁） | 公表裁決事例等の紹介 | 国税不服審判所 本文へジャンプします サイト内検索 検索の仕方 利用案内 サイトマップ 関連リンク ホーム >> 公表裁決事例集等の紹介 >> 公表裁決事例 >> 裁決事例集 No.49 >> （平7.2.10裁決、裁決事例集No.49 311頁） （平7.2.10裁決、裁決事例集No.49 311頁） 《裁決書（抄）》 1 事実 審査請求人（以下「請求人」という。	https://www.kfs.go.jp/service/JP/49/17/index.html
