id	pid	page_start	page_end	section_id	context	core
beps-a14-peer-review-documents-oecd-en-p072	p072	72	72	beps-a14-peer-review-documents-oecd-en	 71 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OEC...	packs/beps-a14-peer-review-documents-oecd-en-pack-24.txt
beps-a14-peer-review-documents-oecd-en-p073	p073	73	73	beps-a14-peer-review-documents-oecd-en	72  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OEC...	packs/beps-a14-peer-review-documents-oecd-en-pack-25.txt
beps-a14-peer-review-documents-oecd-en-p074	p074	74	74	beps-a14-peer-review-documents-oecd-en	 73 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OEC...	packs/beps-a14-peer-review-documents-oecd-en-pack-25.txt
beps-a14-peer-review-documents-oecd-en-p075	p075	75	75	beps-a14-peer-review-documents-oecd-en	74  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OEC...	packs/beps-a14-peer-review-documents-oecd-en-pack-26.txt
beps-a14-peer-review-documents-oecd-en-p076	p076	76	76	beps-a14-peer-review-documents-oecd-en	 75 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OEC...	packs/beps-a14-peer-review-documents-oecd-en-pack-26.txt
beps-a14-peer-review-documents-oecd-en-p077	p077	77	77	beps-a14-peer-review-documents-oecd-en	76  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OEC...	packs/beps-a14-peer-review-documents-oecd-en-pack-27.txt
beps-a14-peer-review-documents-oecd-en-p078	p078	78	78	beps-a14-peer-review-documents-oecd-en	 77 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OEC...	packs/beps-a14-peer-review-documents-oecd-en-pack-27.txt
beps-a14-peer-review-documents-oecd-en-p079	p079	79	79	beps-a14-peer-review-documents-oecd-en	78  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OEC...	packs/beps-a14-peer-review-documents-oecd-en-pack-27.txt
beps-a14-peer-review-documents-oecd-en-p080	p080	80	80	beps-a14-peer-review-documents-oecd-en	 79 BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OEC...	packs/beps-a14-peer-review-documents-oecd-en-pack-28.txt
beps-a14-peer-review-documents-oecd-en-p081	p081	81	81	beps-a14-peer-review-documents-oecd-en	80  BEPS ACTION 14 ON MORE EFFECTIVE DISPUTE RESOLUTION MECHANISMS – PEER REVIEW DOCUMENTS © OEC...	packs/beps-a14-peer-review-documents-oecd-en-pack-28.txt
beps-a14-best-practices-japan-2021-oecd-en-p004	p004	4	4	beps-a14-best-practices-japan-2021-oecd-en	...  3 INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE RESOLUTION MORE EFFECTIVE MAP PEER REVIEW REPORT © OECD 2021 Table of contents Abbrev...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-00.txt
beps-a14-best-practices-japan-2021-oecd-en-p006	p006	6	6	beps-a14-best-practices-japan-2021-oecd-en	...  5 INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE RESOLUTION MORE EFFECTIVE MAP PEER REVIEW REPORT © OECD 2021 Abbreviations and Acrony...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-00.txt
beps-a14-best-practices-japan-2021-oecd-en-p008	p008	8	8	beps-a14-best-practices-japan-2021-oecd-en	...  7 INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE RESOLUTION MORE EFFECTIVE MAP PEER REVIEW REPORT © OECD 2021 Introduction The final r...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-00.txt
beps-a14-best-practices-japan-2021-oecd-en-p010	p010	10	10	beps-a14-best-practices-japan-2021-oecd-en	...  9 INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE RESOLUTION MORE EFFECTIVE MAP PEER REVIEW REPORT © OECD 2021 Part A Preventing Disput...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-00.txt
beps-a14-best-practices-japan-2021-oecd-en-p011	p011	11	11	beps-a14-best-practices-japan-2021-oecd-en	...UTES INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE RESOLUTION MORE EFFECTIVE MAP PEER REVIEW REPORT © OECD 2021 handle the request and c...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-01.txt
beps-a14-best-practices-japan-2021-oecd-en-p012	p012	12	12	beps-a14-best-practices-japan-2021-oecd-en	... 11 INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE RESOLUTION MORE EFFECTIVE MAP PEER REVIEW REPORT © OECD 2021 This peer further mentio...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-01.txt
beps-a14-best-practices-japan-2021-oecd-en-p013	p013	13	13	beps-a14-best-practices-japan-2021-oecd-en	...UTES INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE RESOLUTION MORE EFFECTIVE MAP PEER REVIEW REPORT © OECD 2021 requests, the list of in...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-02.txt
beps-a14-best-practices-japan-2021-oecd-en-p014	p014	14	14	beps-a14-best-practices-japan-2021-oecd-en	... 13 INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE RESOLUTION MORE EFFECTIVE MAP PEER REVIEW REPORT © OECD 2021 24 and 25) and the Guida...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-02.txt
beps-a14-best-practices-japan-2021-oecd-en-p015	p015	15	15	beps-a14-best-practices-japan-2021-oecd-en	...UTES INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE RESOLUTION MORE EFFECTIVE MAP PEER REVIEW REPORT © OECD 2021 domestic laws and direct...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-02.txt
beps-a14-best-practices-japan-2021-oecd-en-p016	p016	16	16	beps-a14-best-practices-japan-2021-oecd-en	... 15 INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE RESOLUTION MORE EFFECTIVE MAP PEER REVIEW REPORT © OECD 2021 Part B Availability and ...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-03.txt
beps-a14-best-practices-japan-2021-oecd-en-p017	p017	17	17	beps-a14-best-practices-japan-2021-oecd-en	... MAP INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE RESOLUTION MORE EFFECTIVE MAP PEER REVIEW REPORT © OECD 2021 request. This article do...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-03.txt
