law_id: 340AC0000000034
law_num: 昭和四十年法律第三十四号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
340AC0000000034_20300619_507AC0000000074	2030-06-19	UnEnforced	令和七年法律第七十四号	社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律
340AC0000000034_20270401_506AC0000000060	2027-04-01	UnEnforced	令和六年法律第六十号	出入国管理及び難民認定法及び外国人の技能実習の適正な実施及び技能実習生の保護に関する法律の一部を改正する法律
340AC0000000034_20270101_508AC0000000012	2027-01-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
340AC0000000034_20261001_508AC0000000012	2026-10-01	UnEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
340AC0000000034_20261001_507AC0000000070	2026-10-01	UnEnforced	令和七年法律第七十号	日本学術会議法
340AC0000000034_20261001_507AC0000000013	2026-10-01	UnEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
340AC0000000034_20260401_508AC0000000012	2026-04-01	CurrentEnforced	令和八年法律第十二号	所得税法等の一部を改正する法律
340AC0000000034_20260401_507AC0000000013	2026-04-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
340AC0000000034_20260401_506AC0000000008	2026-04-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
340AC0000000034_20260101_505AC0000000003	2026-01-01	PreviousEnforced	令和五年法律第三号	所得税法等の一部を改正する法律
340AC0000000034_20251218_507AC0000000013	2025-12-18	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
340AC0000000034_20250620_507AC0000000074	2025-06-20	PreviousEnforced	令和七年法律第七十四号	社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律
340AC0000000034_20250601_504AC0000000068	2025-06-01	PreviousEnforced	令和四年法律第六十八号	刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄
340AC0000000034_20250401_507AC0000000013	2025-04-01	PreviousEnforced	令和七年法律第十三号	所得税法等の一部を改正する法律
340AC0000000034_20250401_506AC0000000046	2025-04-01	PreviousEnforced	令和六年法律第四十六号	情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律
340AC0000000034_20250401_505AC0000000047	2025-04-01	PreviousEnforced	令和五年法律第四十七号	国立健康危機管理研究機構法の施行に伴う関係法律の整備に関する法律
340AC0000000034_20250401_505AC0000000021	2025-04-01	PreviousEnforced	令和五年法律第二十一号	私立学校法の一部を改正する法律
340AC0000000034_20250101_506AC0000000008	2025-01-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
340AC0000000034_20241001_506AC0000000008	2024-10-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
340AC0000000034_20240401_506AC0000000008	2024-04-01	PreviousEnforced	令和六年法律第八号	所得税法等の一部を改正する法律
340AC0000000034_20240401_505AC0000000079	2024-04-01	PreviousEnforced	令和五年法律第七十九号	金融商品取引法等の一部を改正する法律
