id	pid	page_start	page_end	section_id	context	core
beps-a04-interest-deductions-nta-ja-p072	p072	72	72	beps-a04-interest-deductions-nta-ja	...国が固定比率ルールを導入した場合、企業が適用できる純利子の損金算入の全体の水準が制 限されるため、ハイブリッド・ミスマッチ取決めがもたらす BEPS の潜在的リスクは軽減する。しか し、当該リスクは除去されない。固定比率ルールが課す制限内では、二重の損金算入や損金算入を含 むが所得を含ま...	packs/beps-a04-interest-deductions-nta-ja-pack-12.txt
beps-a04-interest-deductions-nta-ja-p073	p073	73	73	beps-a04-interest-deductions-nta-ja	...、国は、固定比率ルールとグループ比率ルールを特別ルールとともに 適用して、第 9 章で検討するリスクや国が特定するその他のリスクを含む特定のBEPS のリスクに対 処することができる。国は、独立当事者間のルール、全ての支払利子の一定割合の損金算入を否認す るルール、過少資本税制などの他の...	packs/beps-a04-interest-deductions-nta-ja-pack-12.txt
beps-a04-interest-deductions-nta-ja-p084	p084	84	84	beps-a04-interest-deductions-nta-ja	...利子制限ルールと組み合わせる 231. 第 1 章で定めるとおり、国は、本報告で勧告するルールとともに他の利子制限ルールを適用 し、特定の BEPS のリスクに対処するか、他の租税政策の目標を実現することができる。本件は、国 がベストプラクティス・アプローチを他のルールとともに適用できる...	packs/beps-a04-interest-deductions-nta-ja-pack-13.txt
beps-a04-interest-deductions-nta-ja-p086	p086	86	86	beps-a04-interest-deductions-nta-ja	...有する個 人に支配されている。D 社には純支払利子が 3,000 万ドルあり、EBITDA は 1 億ドルである。D 社の 純支払利子には、BEPS を生じさせる取決め（D 社が新たな資金調達を何ら行わない「人為的融資」 など）に支払う 500 万ドルが含まれている。D 社は独立した企業...	packs/beps-a04-interest-deductions-nta-ja-pack-14.txt
beps-a04-interest-deductions-nta-ja-p090	p090	90	90	beps-a04-interest-deductions-nta-ja	...は独自の分析を行い、国内で事業を行うグループは、一般的に純第三者利子／ EBITDA 比率が低いと結論付けている。A 国は、利子を利用した BEPS に対処する厳しい取組みを適 用することも希望している。 248. A 国は、要因の 1～5 までと追加の要因が基準固定比率を下げることを示...	packs/beps-a04-interest-deductions-nta-ja-pack-14.txt
beps-a04-interest-deductions-nta-ja-p091	p091	91	91	beps-a04-interest-deductions-nta-ja	3 と要因 4 には低い重み付けしか適用しないことも決定している。すなわち、(i) 行動 4 で対処すべき BEPS のリスクのいくつかに他の課税ルールで対処しても、当該リスクのいくつかは残るため。(ii) B 国の金利は他国と比べて少し高いが、著しく高い...	packs/beps-a04-interest-deductions-nta-ja-pack-14.txt
beps-a04-interest-deductions-nta-ja-p100	p100	100	100	beps-a04-interest-deductions-nta-ja	...たEBITDA の算定は、固定比率ルールに基づいて勧告する算定に合致してい る。また、グループが適用し、税務当局が監査することも容易であり、BEPS に対処する取組みとし て企業の利子の損金算入が課税所得のレベルにリンクするという利益がある。つまり、企業の課税所 得が会計収益より多い場合...	packs/beps-a04-interest-deductions-nta-ja-pack-15.txt
beps-a08-10-tp-value-creation-nta-ja-p074	p074	74	74	beps-a08-10-tp-value-creation-nta-ja	...費用、及び合算所得の分割に使 用される要素の信頼性について、十分に考慮するべきである。 18 パラグラフ 6.148 から 6.152 は、BEPS 行動計画 10 で指示された、取引単位利益分割法の適用における結果を反 映するために訂正される可能性がある。この作業は、2016 年及び ...	packs/beps-a08-10-tp-value-creation-nta-ja-pack-14.txt
beps-a14-dispute-resolution-nta-ja-p002	p002	2	2	beps-a14-dispute-resolution-nta-ja	... 止することは、経済成長及び強靭な世界経済を支える国際課税システムの構築にとって不可欠で ある。各国は、税源浸食と利益移転に対処するために BEPS 行動計画に基づき策定された措置を 導入することによって、法令を順守する納税者にとって不必要な不確実性をもたらし、意図しな い二重課税を引き...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p003	p003	3	3	beps-a14-dispute-resolution-nta-ja	...仲裁を創設するというコミットメントを含め、租税に関する既存の国際的 な情報ネットワーク及び国境を越えた協力を強化するよう努力する。我々は、 BEPS プロジェク トの一環である拘束的仲裁に関してなされた取組を支持し、他国に対し、我々と共にこの重要な 取組に参加することを奨励する。  以...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
