id	pid	page_start	page_end	section_id	context	core
beps-a14-best-practices-japan-2021-oecd-en-p006	p006	6	6	beps-a14-best-practices-japan-2021-oecd-en	ABBREVIATIONS AND ACRONYMS  5 INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE RE...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-00.txt
beps-a14-best-practices-japan-2021-oecd-en-p016	p016	16	16	beps-a14-best-practices-japan-2021-oecd-en	PART B: AVAILABILITY AND ACCESS TO MAP  15 INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISP...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-03.txt
beps-a14-best-practices-japan-2021-oecd-en-p017	p017	17	17	beps-a14-best-practices-japan-2021-oecd-en	16  PART B: AVAILABILITY AND ACCESS TO MAP INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE R...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-03.txt
beps-a14-best-practices-japan-2021-oecd-en-p018	p018	18	18	beps-a14-best-practices-japan-2021-oecd-en	PART B: AVAILABILITY AND ACCESS TO MAP  17 INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISP...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-04.txt
beps-a14-best-practices-japan-2021-oecd-en-p019	p019	19	19	beps-a14-best-practices-japan-2021-oecd-en	18  PART B: AVAILABILITY AND ACCESS TO MAP INCLUSIVE FRAMEWORK OF BEPS: ACTION 14 MAKING DISPUTE R...	packs/beps-a14-best-practices-japan-2021-oecd-en-pack-04.txt
beps-min-standards-progress-2025-oecd-en-p003	p003	3	3	beps-min-standards-progress-2025-oecd-en	2  RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 This docum...	packs/beps-min-standards-progress-2025-oecd-en-pack-00.txt
beps-min-standards-progress-2025-oecd-en-p004	p004	4	4	beps-min-standards-progress-2025-oecd-en	 3 RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 Foreword D...	packs/beps-min-standards-progress-2025-oecd-en-pack-00.txt
beps-min-standards-progress-2025-oecd-en-p005	p005	5	5	beps-min-standards-progress-2025-oecd-en	4  RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 payments (...	packs/beps-min-standards-progress-2025-oecd-en-pack-00.txt
beps-min-standards-progress-2025-oecd-en-p006	p006	6	6	beps-min-standards-progress-2025-oecd-en	 5 RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 Table of c...	packs/beps-min-standards-progress-2025-oecd-en-pack-00.txt
beps-min-standards-progress-2025-oecd-en-p007	p007	7	7	beps-min-standards-progress-2025-oecd-en	6  RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 Introducti...	packs/beps-min-standards-progress-2025-oecd-en-pack-01.txt
beps-min-standards-progress-2025-oecd-en-p008	p008	8	8	beps-min-standards-progress-2025-oecd-en	 7 RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 highlights...	packs/beps-min-standards-progress-2025-oecd-en-pack-01.txt
beps-min-standards-progress-2025-oecd-en-p009	p009	9	9	beps-min-standards-progress-2025-oecd-en	8  RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 Way forwar...	packs/beps-min-standards-progress-2025-oecd-en-pack-02.txt
beps-min-standards-progress-2025-oecd-en-p010	p010	10	10	beps-min-standards-progress-2025-oecd-en	 9 RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 Way forwar...	packs/beps-min-standards-progress-2025-oecd-en-pack-02.txt
beps-min-standards-progress-2025-oecd-en-p011	p011	11	11	beps-min-standards-progress-2025-oecd-en	10  RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 Way forwar...	packs/beps-min-standards-progress-2025-oecd-en-pack-03.txt
beps-min-standards-progress-2025-oecd-en-p012	p012	12	12	beps-min-standards-progress-2025-oecd-en	 11 RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 process, w...	packs/beps-min-standards-progress-2025-oecd-en-pack-03.txt
beps-min-standards-progress-2025-oecd-en-p013	p013	13	13	beps-min-standards-progress-2025-oecd-en	12  RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 References...	packs/beps-min-standards-progress-2025-oecd-en-pack-03.txt
beps-min-standards-progress-2025-oecd-en-p014	p014	14	14	beps-min-standards-progress-2025-oecd-en	 13 RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 Annex A. R...	packs/beps-min-standards-progress-2025-oecd-en-pack-04.txt
beps-min-standards-progress-2025-oecd-en-p015	p015	15	15	beps-min-standards-progress-2025-oecd-en	14  RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 Action 5 m...	packs/beps-min-standards-progress-2025-oecd-en-pack-04.txt
beps-min-standards-progress-2025-oecd-en-p016	p016	16	16	beps-min-standards-progress-2025-oecd-en	 15 RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 Revised me...	packs/beps-min-standards-progress-2025-oecd-en-pack-05.txt
beps-min-standards-progress-2025-oecd-en-p017	p017	17	17	beps-min-standards-progress-2025-oecd-en	16  RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 2. A list ...	packs/beps-min-standards-progress-2025-oecd-en-pack-05.txt
beps-min-standards-progress-2025-oecd-en-p018	p018	18	18	beps-min-standards-progress-2025-oecd-en	 17 RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 List 3: re...	packs/beps-min-standards-progress-2025-oecd-en-pack-06.txt
beps-min-standards-progress-2025-oecd-en-p019	p019	19	19	beps-min-standards-progress-2025-oecd-en	18  RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 • any othe...	packs/beps-min-standards-progress-2025-oecd-en-pack-06.txt
beps-min-standards-progress-2025-oecd-en-p020	p020	20	20	beps-min-standards-progress-2025-oecd-en	 19 RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 Each key f...	packs/beps-min-standards-progress-2025-oecd-en-pack-07.txt
beps-min-standards-progress-2025-oecd-en-p021	p021	21	21	beps-min-standards-progress-2025-oecd-en	20  RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 If the reg...	packs/beps-min-standards-progress-2025-oecd-en-pack-07.txt
beps-min-standards-progress-2025-oecd-en-p022	p022	22	22	beps-min-standards-progress-2025-oecd-en	 21 RECOGNISING PROGRESS AND REDUCING BURDENS IN THE BEPS MINIMUM STANDARDS © OECD 2025 Timelines ...	packs/beps-min-standards-progress-2025-oecd-en-pack-08.txt
