id	pid	page_start	page_end	section_id	context	core
beps-a14-dispute-resolution-nta-ja-p002	p002	2	2	beps-a14-dispute-resolution-nta-ja	...局が、租税条約の解釈又は適用に関する相違点又は困難 を相互の合意に基づいて解決できるメカニズムを規定している。このメカニズムは、相互協議 （MAP）と呼ばれ、租税条約の適切な適用及び解釈、 特に、租税条約の特典を享受できる納税 者が、いずれの締約国においても当該租税条約の規定に適合しな...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p003	p003	3	3	beps-a14-dispute-resolution-nta-ja	...gen/G8_G20/2015-06-08-g7-abschluss- eng.pdf?__blob=publicationFile）には、MAP 仲裁制度に関連する以下の声明（訳者注：以下、仮 訳）が含まれている。 さらに、我々は、二重課税のリスクが国境を越えた貿易及び投資の障壁とな...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p004	p004	4	4	beps-a14-dispute-resolution-nta-ja	...可能性を 確保する行動で補完されなければならないと認識されている。行動 14 に関する取組は、租税条 約に関する紛争の解決において相互協議（MAP）の実効性を高めることを目指しており、もっ て BEPS に関する取組において不可欠の要素であるとともに、BEPS 行動計画の包括的かつ全体...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p005	p005	5	5	beps-a14-dispute-resolution-nta-ja	...参考のための仮訳であって、正確には原文を参照されたい。 - 4 -  各国は、相互協議に関する租税条約上の義務の誠実かつ全面的な実施及び MAP 事案の 適時解決を確保すべきである。  各国は、租税条約に関する紛争の未然防止及び適時の解決を促進する行政手続を確保す べきである。 ...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p006	p006	6	6	beps-a14-dispute-resolution-nta-ja	... れなければならない。セクション I.A.1 に示すミニマムスタンダードの構成要素は、相互協議に 関する租税条約上の義務の全面的な実施及び MAP 事案の適時解決を確保することを意図してい る。 1.1 各国は、第 25 条第 1 項から第 3 項までを自国の租税条約に規定すべきである...	packs/beps-a14-dispute-resolution-nta-ja-pack-00.txt
beps-a14-dispute-resolution-nta-ja-p007	p007	7	7	beps-a14-dispute-resolution-nta-ja	...考のための仮訳であって、正確には原文を参照されたい。 - 6 - するコメンタリー第 9.1 から第 9.5 パラグラフも、濫用がある場合にMAP へのアクセスを提供す る義務があるか否かという問題と関連している。特に、第 9.5 パラグラフは、適用可能な租税条 約に基づき、より有利な...	packs/beps-a14-dispute-resolution-nta-ja-pack-01.txt
beps-a14-dispute-resolution-nta-ja-p008	p008	8	8	beps-a14-dispute-resolution-nta-ja	...明確にするために、OECD モデル租 税条約の次回改正の一環として、第 25 条のコメンタリー改正を予定している。 1.3 各国は、適時に MAP 事案を解決することにコミットすべきである。各国は平均 24 か月以 内に MAP 事案を解決するよう努めることにコミットする。当該目標の達...	packs/beps-a14-dispute-resolution-nta-ja-pack-01.txt
beps-a14-dispute-resolution-nta-ja-p009	p009	9	9	beps-a14-dispute-resolution-nta-ja	...ECD 加盟国のうち相互協議に関する統計 の提出に同意する国から、当該統計を収集し公表している。こうした統計は、報告する全ての国 における MAP の全般的な状況についての概観だけでなく、各報告国の MAP プログラムに関す る透明性をも提供するものである。行動 14 に関する取組の中...	packs/beps-a14-dispute-resolution-nta-ja-pack-01.txt
beps-a14-dispute-resolution-nta-ja-p010	p010	10	10	beps-a14-dispute-resolution-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 - 9 - 仲裁制度の適用範囲を、適切に定義された MAP 事案の一群に制限することを望む国に適した代 替規定が含められる予定である。 2. 各国は、租税条約に関する紛争の未然防止及び適時の解決を促...	packs/beps-a14-dispute-resolution-nta-ja-pack-01.txt
beps-a14-dispute-resolution-nta-ja-p011	p011	11	11	beps-a14-dispute-resolution-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 - 10 - 27. MAP プログラムを運営するための各国の内部ガイダンス及び手続は、MAP プロセスの 担当職員が、租税条約の規定に適合しない課税を排除するとの観点...	packs/beps-a14-dispute-resolution-nta-ja-pack-01.txt
beps-a14-dispute-resolution-nta-ja-p012	p012	12	12	beps-a14-dispute-resolution-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 - 11 - る影響を明示的に記述すべきである。 30. 各国の MAP プログラムのガイダンスは、税務当局と納税者の間で調査上の和解があっ た場合でも、MAP へのアクセスが妨げられないことを明確にすべきである...	packs/beps-a14-dispute-resolution-nta-ja-pack-02.txt
beps-a14-dispute-resolution-nta-ja-p017	p017	17	17	beps-a14-dispute-resolution-nta-ja	...の権限のある当局に事案を申入れ、二重課税を回避するための措 置をとるよう後者の権限のある当局に求めることができる。 3.2 各国が公表する MAP ガイダンスでは、納税者が相互協議の申立てに添付して提出する必 要のある具体的な情報及び文書を特定すべきである。各国は、納税者が必要とされた...	packs/beps-a14-dispute-resolution-nta-ja-pack-03.txt
beps-a14-dispute-resolution-nta-ja-p020	p020	20	20	beps-a14-dispute-resolution-nta-ja	...トプラクティス（ミニ マムスタンダードの一部分ではない）である。 1. 各国は、相互協議に関する租税条約上の義務の誠実かつ全面的な実施及び MAP 事案の適 時解決を確保すべきである。 ベストプラクティス1：各国は、自国の租税条約に第 9 条第 2 項を規定すべきである。 43. 多く...	packs/beps-a14-dispute-resolution-nta-ja-pack-03.txt
beps-a14-dispute-resolution-nta-ja-p021	p021	21	21	beps-a14-dispute-resolution-nta-ja	...ールであるかもしれない。したがって、権限のある当局は当該権限を積極的に 活用することが推奨されるべきである。さらに各国は、（特定の納税者の MAP 事案というより は）全ての納税者又はあるカテゴリーの納税者への租税条約の適用に影響を及ぼす一般的な事項 に関する第 25 条第 3 項によ...	packs/beps-a14-dispute-resolution-nta-ja-pack-03.txt
beps-a14-dispute-resolution-nta-ja-p022	p022	22	22	beps-a14-dispute-resolution-nta-ja	...ように同様に生じ得る問題につ いても、（関連事実及び状況が同様であり、かつ、当該事実及び状況を調査で検証することを一 般的には条件として、）MAP の支援要請を納税者に認めるような相互協議手続は、重複する相 互協議申立てを回避し、権限のある当局のリソースをより効率的に用いることができる...	packs/beps-a14-dispute-resolution-nta-ja-pack-04.txt
beps-a14-dispute-resolution-nta-ja-p023	p023	23	23	beps-a14-dispute-resolution-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 - 22 - くなるだろうと考える場合には、誠実に MAP の議論を実施することがより困難となる、と考え る権限のある当局もあるかもしれない。したがって、各国は、MAP 事案の協議が継続している 期...	packs/beps-a14-dispute-resolution-nta-ja-pack-04.txt
beps-a14-dispute-resolution-nta-ja-p024	p024	24	24	beps-a14-dispute-resolution-nta-ja	...、一方の締 約国が排除し、その結果として当該国の裁判所の判決と相違することを妨げるべきではな い。 ベストプラクティス9： 各国が公表する MAP ガイダンスにおいて、納税者が行った真正な国外 調整（すなわち、納税者の見解としては、独立企業原則に適合した結果 を申告する観点から、(i)...	packs/beps-a14-dispute-resolution-nta-ja-pack-04.txt
beps-a14-dispute-resolution-nta-ja-p025	p025	25	25	beps-a14-dispute-resolution-nta-ja	...めの仮訳であって、正確には原文を参照されたい。 - 24 - を、双方の権限のある当局が協議を通じて解決できるようにするため に、納税者が MAP へのアクセスを認 められることを定めるべきであ る。かかる目的のためには、納税者が行った国外調整は、関連者取引か ら生じる課税所得又は恒久...	packs/beps-a14-dispute-resolution-nta-ja-pack-04.txt
beps-a14-dispute-resolution-nta-ja-p027	p027	27	27	beps-a14-dispute-resolution-nta-ja	...と認 められるという理由のみでは、第 1 項に基づく要求を考慮することを拒否 するべきでな い｡ ベストプラクティス10： 各国が公表する MAP ガイダンスでは、相互協議の中での利子及び罰 金に関する配慮についてのガイダンスを示すべきである。 56. MAP 事案の文脈において、利子...	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
beps-a14-dispute-resolution-nta-ja-p028	p028	28	28	beps-a14-dispute-resolution-nta-ja	本翻訳は参考のための仮訳であって、正確には原文を参照されたい。 - 27 - ベストプラクティス11： 各国が公表する MAP ガイダンスでは、多国間の MAP 及び事前確認 （AP A）に関するガイダンスを定めるべきである。 58. 近年、グローバル化が著しく進展...	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
beps-a14-dispute-resolution-nta-ja-p029	p029	29	29	beps-a14-dispute-resolution-nta-ja	...文を参照されたい。 - 28 - 61. 付託事項及び評価手法の策定に向けたマンデイトは、本報告の付属資料に定める。 II. 強制的拘束的 MAP 仲裁制度に対するコミットメント 62. 経済界及び多くの国は、強制的拘束的仲裁制度を、租税条約上の紛争が MAP を通じて 効果的に解決さ...	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
beps-a14-dispute-resolution-nta-ja-p030	p030	30	30	beps-a14-dispute-resolution-nta-ja	...動 14 におけるミニマムスタンダードの構成要素 1.6 に従い、各国はミニマムスタンダードの 遵守状況について、参加国、すなわち FTA MAP フォーラムの他のメンバー（ミニマムスタン ダードの構成要素 1.4 に定める通り、各国は、 FTA MAP フォーラムのメンバーになり、同...	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
beps-a14-dispute-resolution-nta-ja-p031	p031	31	31	beps-a14-dispute-resolution-nta-ja	...よって全ての国の評価が一貫的で、かつ、完全であることを確保するものと する。評価手法は、OECD 加盟国、G20 諸国及びその他の FTA MAP フォーラムを通じてコミッ トした国に対する参加国によるモニタリングのための詳細な手続及びガイドラインを定めるもの とし、対等な立場で参加す...	packs/beps-a14-dispute-resolution-nta-ja-pack-05.txt
beps-a14-peer-review-monitoring-nta-ja-p001	p001	1	1	beps-a14-peer-review-monitoring-nta-ja	...の報告 書「行動 14：紛争解決メカニズムの実効性の向上」（以下、「行動 14 報告書」という。）も含まれ ている。この報告書は、相互協議（MAP）の下での各国の租税条約関連の紛争解決を妨げる障害と なっているものについて、またそのような障害を取り除くために、推奨される手段について議論...	packs/beps-a14-peer-review-monitoring-nta-ja-pack-00.txt
beps-a14-peer-review-documents-oecd-en-p004	p004	4	4	beps-a14-peer-review-documents-oecd-en	...ute resolution mechanisms more effective (updated December 2022) 18 3 MAP Statistics Reporting Framework (updated December 2022) 48 4 Guidance ...	packs/beps-a14-peer-review-documents-oecd-en-pack-00.txt
beps-a14-peer-review-documents-oecd-en-p005	p005	5	5	beps-a14-peer-review-documents-oecd-en	...ii) the Assessment Methodology; (iii) the Mutual Agreement Procedure (MAP) Statistics Reporting Framework; and (iv) the Guidance on Specific In...	packs/beps-a14-peer-review-documents-oecd-en-pack-00.txt
beps-a14-peer-review-documents-oecd-en-p006	p006	6	6	beps-a14-peer-review-documents-oecd-en	... 2023 The Action 14 minimum standard also requires Members to publish MAP guidance that identify the specific information and documentation tha...	packs/beps-a14-peer-review-documents-oecd-en-pack-00.txt
beps-a14-peer-review-documents-oecd-en-p007	p007	7	7	beps-a14-peer-review-documents-oecd-en	...that prevent countries from [re]solving treaty-related disputes under MAP, including the absence of arbitration provisions in most treaties and...	packs/beps-a14-peer-review-documents-oecd-en-pack-01.txt
beps-a14-peer-review-documents-oecd-en-p008	p008	8	8	beps-a14-peer-review-documents-oecd-en	... MECHANISMS – PEER REVIEW DOCUMENTS © OECD 2023 Party 1”) and the FTA MAP Forum develop the Terms of Reference and the Assessment Methodology f...	packs/beps-a14-peer-review-documents-oecd-en-pack-01.txt
beps-a14-peer-review-documents-oecd-en-p009	p009	9	9	beps-a14-peer-review-documents-oecd-en	...g areas:  Preventing disputes (Part A);  Availability and access to MAP (Part B);  Resolution of MAP cases (Part C); and  Implementation of...	packs/beps-a14-peer-review-documents-oecd-en-pack-02.txt
beps-a14-peer-review-documents-oecd-en-p010	p010	10	10	beps-a14-peer-review-documents-oecd-en	...ining Module” to appropriate personnel. B. Availability and access to MAP – Elements of the minimum standard 13. Where tax treaty -related disp...	packs/beps-a14-peer-review-documents-oecd-en-pack-02.txt
