id	pid	page_start	page_end	section_id	context	core
p010-1.18	1.18	10	10	ch01	...固有 の事実や状況を入念に分析した後に、特定の納税者や多国籍企業グループと協力し て作り上げた算定式、例えば、相互協議、APA、あるいはその他の二国間又は多国 間の取決めにおいて用いられるような算定式の限定的な適用と混同してはならない。 そのよう...	packs/ch01-pack-00.txt
p135-4.3	4.3	135	136	ch04	...の可能性について述べる。E 節では特 定の納税者のためのセーフハーバーを開発することについて述べ、F 節では事前確 認(APA)を扱い、ここでは納税者が特定の関連者間取引について適用する移転価格 算定方法や条件を事前に決定することの可能性について...	packs/ch04-pack-00.txt
p153-4.63	4.63	153	154	ch04	...・プラクティス 8）、相互協議中の加算税・延滞税への配慮に関する指針 （ベスト・プラクティス 10）、多国間の協議及び APA に関する指針（ベス ト・プラクティス 11）。ベスト・プラクティス 9は、納税者に相互協議の利用 を認めることにより、...	packs/ch04-pack-02.txt
p172-4.134	4.134	172	172	ch04	4.134 APA は、関連者間取引について、その取引を行う前に、一定期間における取 引に関する価格を決定するための適切な基準（例えば、方...	packs/ch04-pack-05.txt
p172-4.135	4.135	172	173	ch04	4.135 APA の概念に関して一つの重要な問題は、一定期間における納税者の移転価 格を確認するに当たってどのようなところまでを確認の対...	packs/ch04-pack-05.txt
p173-4.136	4.136	173	173	ch04	4.136 APA において用いられた予測が信頼できるものであるか否かは、その予測の 性格及びその予測の基になった重要な前提条件の双方によ...	packs/ch04-pack-05.txt
p173-4.138	4.138	173	173	ch04	4.138 個々の事案において、APA がどこまで具体的個別的であることができるかを 決定するに際し、税務当局は、将来の所得を確実に予測できるということはほと...	packs/ch04-pack-05.txt
p173-4.139	4.139	173	173	ch04	4.139 まとめると、予測の信頼性は、実際の各事案の事実及び状況による。納税者 及び税務当局の双方とも、APA の対象を検討する際には、予測の信頼性について十 分に注意を払う必要がある。信頼できない予測は、APA の中に含まれるべ...	packs/ch04-pack-05.txt
p173-4.140	4.140	173	174	ch04	4.140 一部の国では、利害関係のある他の税務当局を関与させないで、自国の納 税者と税務当局だけの APA（ユニラテラル APA）を締結するという国内的な取決め を認めている。しかし、ユニラテラル APA は、他の課税管轄にお...	packs/ch04-pack-05.txt
p174-4.141	4.141	174	174	ch04	4.141 ほとんどの国は、二重課税に対する懸念から二国間又は多国間 APA（二つ以 上の国が関係する取決めをいう）を選好する。実際、ユニラテラル APA（納税者と 自国税務当局の APA をいう...	packs/ch04-pack-05.txt
